method,subset,layer_band,n_questions,mean_auc,mean_base,mean_ck8,mean_delta_ck8_minus_base,mean_slope_per_ckpt,mean_min_checkpoint_value,mean_mid_minus_late
RMU,forgotten,core_mid,47,0.6915968261430165,0.8651192822700773,0.625016126365219,-0.2401031559048585,-0.030012894488107313,0.49490651925251145,
RMU,forgotten,mid_minus_late,47,,,,,,,0.040274880424156397
RMU,lucky,early,51,0.625915558112584,0.6250233494434037,0.6261437976393713,0.0011204481959676835,0.00014005602449596044,0.6166199881489538,
RMU,lucky,mid,51,0.643068911081917,0.8695886229767519,0.5269511790699062,-0.3426374439068457,-0.04282968048835571,0.41607074813859274,
RMU,lucky,late,51,0.5762345739114778,0.8864379120077572,0.3450980456144201,-0.5413398663933371,-0.06766748329916714,0.18480392595132195,
RMU,lucky,core_mid,51,0.6473229081967391,0.8781937048396962,0.5415329832231723,-0.33666072161652394,-0.04208259020206549,0.42186572218111273,
RMU,lucky,mid_minus_late,51,,,,,,,0.06683433717043907
RMU-LAT,retained,early,153,0.7363834480265262,0.735947718156152,0.7363212009215333,0.0003734827653811825,4.668534567264781e-05,0.7293495233764613,
RMU-LAT,retained,mid,153,0.8276218591648856,0.9174676430839522,0.7929514339684248,-0.12451620911552741,-0.015564526139440926,0.6798154616850883,
RMU-LAT,retained,late,153,0.8039760391864338,0.9507625290770935,0.7343681968797265,-0.21639433219736698,-0.027049291524670872,0.5530501157240151,
RMU-LAT,retained,core_mid,153,0.8335335973238264,0.9212121236735132,0.7990097099163669,-0.12220241375714626,-0.015275301719643282,0.6867102458373606,
RMU-LAT,retained,mid_minus_late,153,,,,,,,0.02364581997845168
RMU-LAT,suppressed,early,57,0.6631393362373006,0.6638262385563146,0.664160407411126,0.0003341688548114343,4.1771106851429286e-05,0.655137851124718,
RMU-LAT,suppressed,mid,57,0.7439284538582998,0.8833161370796071,0.7413140753658933,-0.1420020617137137,-0.017750257714214214,0.5652562842588061,
RMU-LAT,suppressed,late,57,0.7213775234641852,0.9068713485802474,0.688888894753498,-0.21798245382674955,-0.027247806728343694,0.4163742758856531,
RMU-LAT,suppressed,core_mid,57,0.75225944164774,0.8926103171549346,0.7569378047658686,-0.1356725123890659,-0.01695906404863324,0.576289214471881,
RMU-LAT,suppressed,mid_minus_late,57,,,,,,,0.022550930394114533
RMU-LAT,forgotten,early,40,0.6060052984030474,0.6042857216511454,0.6054761978558132,0.0011904762046677669,0.00014880952558347086,0.5966666740391936,
RMU-LAT,forgotten,mid,40,0.6910784381033939,0.8680392198615214,0.6678431448252762,-0.20019607503624526,-0.025024509379530657,0.5166666740704985,
RMU-LAT,forgotten,late,40,0.6320833409453431,0.9056250038929283,0.5675000084191562,-0.3381249954737723,-0.042265624434221535,0.3264583406597376,
RMU-LAT,forgotten,core_mid,40,0.6963973130421206,0.8833333371444182,0.6671212198382074,-0.21621211730621076,-0.027026514663276345,0.5100000072067434,
RMU-LAT,forgotten,mid_minus_late,40,,,,,,,0.058995097158050624
RMU-LAT,lucky,early,57,0.6408985489923886,0.6412698476685019,0.6437761132729084,0.0025062656044063727,0.0003132832005507966,0.6314118694243275,
RMU-LAT,lucky,mid,57,0.651324395571071,0.8568971486898644,0.5684898588248942,-0.28840728986497016,-0.03605091123312127,0.45029240416053407,
RMU-LAT,lucky,late,57,0.6388564064140209,0.8716374303295948,0.5062865570056857,-0.3653508733239091,-0.045668859165488636,0.33523392464246665,
RMU-LAT,lucky,core_mid,57,0.655360629992474,0.8681552403186117,0.5676767744040756,-0.30047846591453614,-0.03755980823931702,0.44433812466724826,
RMU-LAT,lucky,mid_minus_late,57,,,,,,,0.012467989157050205
RepNoise,retained,early,123,0.7327139045687887,0.7240418177102363,0.7379791000371194,0.01393728232688327,0.0017421602908604087,0.686643444287237,
RepNoise,retained,mid,123,0.8682430914781878,0.9082735561400951,0.832775391208561,-0.07549816493153401,-0.009437270616441751,0.7473298324716542,
RepNoise,retained,late,123,0.8747816961060101,0.9282520350523111,0.827981034575439,-0.10027100047687205,-0.012533875059609007,0.662669384212998,
RepNoise,retained,core_mid,123,0.8733295046520555,0.9135255015962491,0.8348854443010187,-0.07864005729523045,-0.009830007161903806,0.7436807157767762,
RepNoise,retained,mid_minus_late,123,,,,,,,-0.006538604627822585
RepNoise,suppressed,early,106,0.720794655025166,0.7199460976127022,0.7200359448911043,8.984727840218425e-05,1.1230909800273031e-05,0.6769991078948718,
RepNoise,suppressed,mid,106,0.8372179103884073,0.9093599734606675,0.7927857985672491,-0.11657417489341836,-0.014571771861677294,0.6866074797547485,
RepNoise,suppressed,late,106,0.840557306797968,0.9321540905197838,0.7749213889170932,-0.15723270160269062,-0.019654087700336328,0.6198113280717494,
RepNoise,suppressed,core_mid,106,0.8439552803379888,0.9143510608178265,0.7992567231223676,-0.11509433769545872,-0.01438679221193234,0.6851343692320288,
RepNoise,suppressed,mid_minus_late,106,,,,,,,-0.0033393964095608385
RepNoise,forgotten,early,44,0.5729677803352108,0.5753246824849737,0.5593073667837428,-0.016017315701230786,-0.0020021644626538482,0.5205627777359704,
RepNoise,forgotten,mid,44,0.7458110582231767,0.8584670272182653,0.6217468891631474,-0.23672013805511802,-0.029590017256889752,0.5425133782912064,
RepNoise,forgotten,late,44,0.7378577505642867,0.9028409126130018,0.5450757663358341,-0.3577651462771676,-0.04472064328464595,0.432765159857544,
RepNoise,forgotten,core_mid,44,0.7525711726455431,0.8787878824905916,0.6213498707645196,-0.257438011726072,-0.032179751465759,0.5358126811498454,
RepNoise,forgotten,mid_minus_late,44,,,,,,,0.007953307658889892
RepNoise,lucky,early,34,0.6113289829701825,0.6022409030619789,0.6140056091947715,0.011764706132792646,0.0014705882665990808,0.5602240966398175,
RepNoise,lucky,mid,34,0.7076893561908897,0.8354094613382149,0.6040369169006711,-0.23137254443754376,-0.02892156805469297,0.500230688031982,
RepNoise,lucky,late,34,0.727151422161195,0.8928921600255897,0.5825980473748025,-0.3102941126507871,-0.03878676408134839,0.4102941253606011,
RepNoise,lucky,core_mid,34,0.7156268626699402,0.8438502709177087,0.6158645354968341,-0.22798573542087472,-0.02849821692760934,0.49572193297472866,
RepNoise,lucky,mid_minus_late,34,,,,,,,-0.019462065970305288
ELM,retained,early,172,0.727913134950208,0.7272425307288914,0.7272425308180015,8.910993519300637e-11,1.1138741899125797e-11,0.7045404268014074,
ELM,retained,mid,172,0.8566879503840026,0.9092339287439384,0.8156406792362314,-0.09359324950770706,-0.011699156188463383,0.7377109042719191,
ELM,retained,late,172,0.8776916487585242,0.9398740331577354,0.8116279116896695,-0.12824612146806577,-0.01603076518350822,0.7044573710754861,
ELM,retained,core_mid,172,0.8599600696177977,0.9129316445573943,0.8214235419702832,-0.09150810258711116,-0.011438512823388895,0.7315362992548792,
ELM,retained,mid_minus_late,172,,,,,,,-0.0210036983745217
ELM,suppressed,early,79,0.6962963028320087,0.690054256004192,0.7005425020217032,0.010488246017511232,0.001311030752188904,0.6677516642681729,
ELM,suppressed,mid,79,0.8199608444008686,0.8854306318736842,0.7687763774563638,-0.11665425441732001,-0.014581781802165001,0.6704889628217899,
ELM,suppressed,late,79,0.8337201169659233,0.8962025354934643,0.7790084441440016,-0.11719409134946293,-0.014649261418682866,0.6325949442914769,
ELM,suppressed,core_mid,79,0.8217363557620758,0.8927502915623271,0.7672420468031331,-0.12550824475919417,-0.01568853059489927,0.6613732337128582,
ELM,suppressed,mid_minus_late,79,,,,,,,-0.013759272565054747
ELM,forgotten,early,26,0.6280423342526613,0.6304029367127261,0.632600738812279,0.0021978020995527853,0.00027472526244409816,0.6014652077968304,
ELM,forgotten,mid,26,0.7532763592662854,0.9027149351878403,0.6702865837521143,-0.23242835143572604,-0.029053543929465755,0.5404223307090648,
ELM,forgotten,late,26,0.771118239319732,0.9387820532975287,0.6663461617265758,-0.2724358915709532,-0.03405448644636915,0.49262821370592486,
ELM,forgotten,core_mid,26,0.7456876517615767,0.9172494200351354,0.6648018720891926,-0.2524475479459429,-0.03155594349324286,0.5212121290343625,
ELM,forgotten,mid_minus_late,26,,,,,,,-0.017841880053446595
ELM,lucky,early,30,0.5082539760278016,0.5057142931506747,0.5152381032705307,0.00952381011985596,0.001190476264981995,0.4749206423475628,
ELM,lucky,mid,30,0.6116630429445009,0.8159477166101043,0.5066666744386449,-0.3092810421714596,-0.03866013027143245,0.41032680498618707,
