method,subset,layer_band,question_idx,auc,base,ck8,delta_ck8_minus_base,slope_per_ckpt,min_checkpoint_value
RMU,retained,late,998,0.844444450404909,1.0,0.8750000052154064,-0.12499999478459356,-0.015624999348074195,0.6500000163912774
RMU,retained,late,1000,0.947222223960691,1.0,0.9583333358168602,-0.0416666641831398,-0.005208333022892475,0.7583333365619183
RMU,retained,late,1012,0.8101851930220922,1.0,0.6583333507180213,-0.34166664928197865,-0.04270833116024733,0.6583333507180213
RMU,retained,late,1014,0.9740740748743215,1.0,0.9333333350718022,-0.06666666492819784,-0.00833333311602473,0.9333333350718022
RMU,retained,late,1020,0.9166666699780358,1.0,0.8416666723787785,-0.15833332762122154,-0.019791665952652693,0.7750000029802322
RMU,retained,late,1031,0.5787037088639205,1.0,0.5000000059604645,-0.49999999403953554,-0.06249999925494194,0.26666667088866236
RMU,retained,late,1039,0.8138888942698639,0.9833333343267441,0.7416666723787785,-0.2416666619479656,-0.0302083327434957,0.5000000089406967
RMU,retained,late,1043,0.6407407469219631,1.0,0.5333333417773247,-0.4666666582226753,-0.05833333227783441,0.3833333387970924
RMU,retained,late,1056,0.8546296360592047,1.0,0.8750000037252903,-0.1249999962747097,-0.015624999534338713,0.6250000156462192
RMU,retained,late,1062,0.6222222265270021,1.0,0.10000000223517418,-0.8999999977648259,-0.11249999972060323,0.10000000223517418
RMU,retained,late,1069,0.6046296355624993,1.0,0.45833333656191827,-0.5416666634380818,-0.06770833292976022,0.14166666939854622
RMU,retained,late,1081,0.9148148177398576,1.0,0.9666666679084301,-0.033333332091569856,-0.004166666511446232,0.7250000096857548
RMU,retained,late,1087,0.8888888926141791,1.0,0.7833333402872086,-0.21666665971279142,-0.027083332464098928,0.6916666761040687
RMU,retained,late,1091,0.8314814847376611,1.0,0.7750000052154065,-0.22499999478459354,-0.028124999348074192,0.6166666723787785
RMU,retained,late,1093,0.6953703735437657,0.6833333387970925,0.37500000447034837,-0.3083333343267441,-0.03854166679084301,0.14166666865348815
RMU,retained,late,1102,0.7574074125952192,1.0,0.7833333432674408,-0.21666665673255925,-0.027083332091569906,0.3583333425223827
RMU,retained,late,1109,0.716666672958268,0.6916666820645332,0.3416666716337204,-0.3500000104308128,-0.0437500013038516,0.3416666716337204
RMU,retained,late,1111,0.4981481542189916,1.0,0.8250000037252903,-0.17499999627470975,-0.021874999534338718,0.07500000149011612
RMU,retained,late,1117,0.9324074096149868,1.0,0.7583333447575569,-0.24166665524244313,-0.03020833190530539,0.6916666716337204
RMU,retained,late,1126,0.6879629667434428,1.0,0.6583333387970924,-0.34166666120290756,-0.042708332650363445,0.1750000037252903
