method,question_idx,subset,layer_band,K_external_ck8,frozen_K_internal,retrained_K_internal,recovery_gain,quadrant
GradDiff,348,retained,mid,1.0,1.0,0.8242424298416484,-0.17575757015835158,frozen_high_retrained_high
GradDiff,349,retained,mid,1.0,1.0,0.7636363685131073,-0.23636363148689266,frozen_high_retrained_high
GradDiff,351,retained,mid,1.0,1.0,1.0,0.0,frozen_high_retrained_high
GradDiff,353,retained,mid,0.6666666865348816,1.0,1.0,0.0,frozen_high_retrained_high
GradDiff,355,retained,mid,0.6666666865348816,1.0,0.8666666681116277,-0.13333333188837226,frozen_high_retrained_high
GradDiff,357,forgotten,mid,0.0,1.0,0.9696969704194502,-0.030303029580549756,frozen_high_retrained_high
GradDiff,358,lucky,mid,0.6666666865348816,0.3333333333333333,0.24242424910718743,-0.09090908422614588,frozen_low_retrained_low
GradDiff,359,suppressed,mid,0.3333333432674408,0.6666666666666666,0.8181818263097242,0.15151515964305762,frozen_high_retrained_high
GradDiff,362,retained,mid,1.0,1.0,0.587878797271035,-0.412121202728965,frozen_high_retrained_high
GradDiff,364,retained,mid,1.0,1.0,0.9151515191251581,-0.08484848087484187,frozen_high_retrained_high
GradDiff,366,retained,mid,1.0,1.0,0.9333333362232555,-0.06666666377674446,frozen_high_retrained_high
GradDiff,372,retained,mid,1.0,1.0,1.0,0.0,frozen_high_retrained_high
GradDiff,373,retained,mid,1.0,1.0,0.9454545487057079,-0.05454545129429211,frozen_high_retrained_high
GradDiff,375,retained,mid,1.0,1.0,0.9333333362232555,-0.06666666377674446,frozen_high_retrained_high
GradDiff,376,suppressed,mid,0.0,1.0,0.969696971503171,-0.030303028496828976,frozen_high_retrained_high
GradDiff,383,retained,mid,1.0,0.6666666666666666,0.618181828477166,-0.04848483818950067,frozen_high_retrained_high
GradDiff,384,retained,mid,0.6666666865348816,0.6666666666666666,0.7333333470604636,0.06666668039379697,frozen_high_retrained_high
GradDiff,391,forgotten,mid,0.0,0.0,0.6606060721657493,0.6606060721657493,frozen_low_retrained_high
GradDiff,392,forgotten,mid,0.3333333432674408,0.6666666666666666,0.5212121313268488,-0.14545453533981778,frozen_high_retrained_high
GradDiff,393,suppressed,mid,0.3333333432674408,1.0,0.6121212206103585,-0.38787877938964155,frozen_high_retrained_high
GradDiff,397,retained,mid,1.0,1.0,0.7454545524987307,-0.2545454475012693,frozen_high_retrained_high
GradDiff,398,lucky,mid,1.0,0.0,0.3272727305238897,0.3272727305238897,frozen_low_retrained_low
GradDiff,399,retained,mid,1.0,1.0,0.6969697101549669,-0.3030302898450331,frozen_high_retrained_high
GradDiff,400,suppressed,mid,0.3333333432674408,1.0,0.5212121324105696,-0.47878786758943037,frozen_high_retrained_high
GradDiff,401,retained,mid,1.0,1.0,0.7636363733898509,-0.2363636266101491,frozen_high_retrained_high
GradDiff,404,forgotten,mid,0.0,0.6666666666666666,0.08484848683530634,-0.5818181798313603,frozen_high_retrained_low
GradDiff,405,suppressed,mid,0.3333333432674408,1.0,0.8242424282160672,-0.1757575717839328,frozen_high_retrained_high
GradDiff,407,retained,mid,1.0,1.0,1.0,0.0,frozen_high_retrained_high
GradDiff,410,lucky,mid,1.0,0.6666666666666666,0.5636363744735717,-0.1030302921930949,frozen_high_retrained_high
GradDiff,411,forgotten,mid,0.0,0.0,0.1575757617300207,0.1575757617300207,frozen_low_retrained_low
GradDiff,412,forgotten,mid,0.0,0.0,0.6303030371665954,0.6303030371665954,frozen_low_retrained_high
GradDiff,414,retained,mid,0.6666666865348816,0.6666666666666666,0.7818181915716691,0.11515152490500247,frozen_high_retrained_high
GradDiff,415,suppressed,mid,0.3333333432674408,0.6666666666666666,0.7515151657841422,0.0848484991174756,frozen_high_retrained_high
GradDiff,416,forgotten,mid,0.3333333432674408,0.3333333333333333,0.4424242556095123,0.109090922276179,frozen_low_retrained_low
GradDiff,422,retained,mid,1.0,1.0,0.3939394008029591,-0.6060605991970409,frozen_high_retrained_low
GradDiff,423,retained,mid,0.6666666865348816,1.0,0.6666666746139527,-0.3333333253860473,frozen_high_retrained_high
GradDiff,424,forgotten,mid,0.3333333432674408,0.6666666666666666,0.6848484911701896,0.018181824503523014,frozen_high_retrained_high
GradDiff,428,forgotten,mid,0.0,0.0,0.21212121790105645,0.21212121790105645,frozen_low_retrained_low
GradDiff,430,forgotten,mid,0.3333333432674408,0.0,0.38181819157166913,0.38181819157166913,frozen_low_retrained_low
GradDiff,432,suppressed,mid,0.3333333432674408,0.6666666666666666,0.47878788872198624,-0.1878787779446804,frozen_high_retrained_low
GradDiff,436,retained,mid,1.0,1.0,0.8303030333735726,-0.16969696662642741,frozen_high_retrained_high
GradDiff,437,retained,mid,1.0,0.6666666666666666,0.5030303169380534,-0.16363634972861318,frozen_high_retrained_high
GradDiff,438,suppressed,mid,0.3333333432674408,1.0,0.727272737568075,-0.272727262431925,frozen_high_retrained_high
GradDiff,440,retained,mid,0.6666666865348816,0.6666666666666666,0.7030303147706118,0.03636364810394521,frozen_high_retrained_high
GradDiff,441,lucky,mid,0.6666666865348816,0.6666666666666666,0.46060606891458683,-0.2060605977520798,frozen_high_retrained_low
GradDiff,442,lucky,mid,1.0,0.6666666666666666,0.6121212184429169,-0.05454544822374974,frozen_high_retrained_high
GradDiff,443,lucky,mid,0.6666666865348816,0.6666666666666666,0.8424242491071875,0.17575758244052087,frozen_high_retrained_high
