method,subset,layer_band,quadrant,count,fraction
RMU-LAT,suppressed,full,frozen_low_retrained_high,20,0.17699115044247787
RMU-LAT,suppressed,full,frozen_low_retrained_low,10,0.08849557522123894
RMU-LAT,suppressed,late,frozen_high_retrained_high,65,0.5752212389380531
RMU-LAT,suppressed,late,frozen_high_retrained_low,18,0.1592920353982301
RMU-LAT,suppressed,late,frozen_low_retrained_high,16,0.1415929203539823
RMU-LAT,suppressed,late,frozen_low_retrained_low,14,0.12389380530973451
RMU-LAT,suppressed,mid,frozen_high_retrained_high,69,0.6106194690265486
RMU-LAT,suppressed,mid,frozen_high_retrained_low,14,0.12389380530973451
RMU-LAT,suppressed,mid,frozen_low_retrained_high,22,0.19469026548672566
RMU-LAT,suppressed,mid,frozen_low_retrained_low,8,0.07079646017699115
RR,forgotten,full,frozen_high_retrained_high,15,0.1724137931034483
RR,forgotten,full,frozen_high_retrained_low,1,0.011494252873563218
RR,forgotten,full,frozen_low_retrained_high,22,0.25287356321839083
RR,forgotten,full,frozen_low_retrained_low,49,0.5632183908045977
RR,forgotten,late,frozen_high_retrained_high,14,0.16091954022988506
RR,forgotten,late,frozen_high_retrained_low,2,0.022988505747126436
RR,forgotten,late,frozen_low_retrained_high,17,0.19540229885057472
RR,forgotten,late,frozen_low_retrained_low,54,0.6206896551724138
RR,forgotten,mid,frozen_high_retrained_high,13,0.14942528735632185
RR,forgotten,mid,frozen_high_retrained_low,3,0.034482758620689655
RR,forgotten,mid,frozen_low_retrained_high,24,0.27586206896551724
RR,forgotten,mid,frozen_low_retrained_low,47,0.5402298850574713
RR,lucky,full,frozen_high_retrained_high,21,0.2413793103448276
RR,lucky,full,frozen_high_retrained_low,5,0.05747126436781609
RR,lucky,full,frozen_low_retrained_high,36,0.41379310344827586
RR,lucky,full,frozen_low_retrained_low,25,0.28735632183908044
RR,lucky,late,frozen_high_retrained_high,19,0.21839080459770116
RR,lucky,late,frozen_high_retrained_low,7,0.08045977011494253
