method,ck,clf,layer,mean_accuracy,std_accuracy,ci95_accuracy,mean_true_accuracy,std_true_accuracy,ci95_true_accuracy,mean_false_accuracy,std_false_accuracy,ci95_false_accuracy,mean_precision,std_precision,ci95_precision,mean_recall,std_recall,ci95_recall,mean_f1,std_f1,ci95_f1,mean_auc,std_auc,ci95_auc
ELM,1,AdaBoost,21,0.5905511811023622,0.005133230240317071,0.0071260659872908255,0.610236220472441,0.03718336678147275,0.051618788347597214,0.5708661417322836,0.03236977132455822,0.04493644657522086,0.5873556613746731,0.00567181895422973,0.007873746986519615,0.610236220472441,0.03718336678147275,0.051618788347597214,0.5979186186958731,0.016447537164917165,0.022832842027046572,0.6248728997457995,0.013234074605057239,0.01837184082951683
ELM,1,AdaBoost,22,0.5956692913385826,0.012109099605692704,0.01681012516428905,0.6023622047244095,0.015943666717572125,0.02213335770845409,0.5889763779527559,0.03327645135293769,0.04619512023860825,0.5950210070126274,0.015446752683947473,0.021443530440273462,0.6023622047244095,0.015943666717572125,0.02213335770845409,0.5983541403385162,0.007825577909420876,0.010863643740977806,0.6412285324570649,0.018416302981041147,0.025565927133775663
ELM,1,AdaBoost,23,0.5866141732283465,0.019487194757109586,0.02705256324870656,0.5889763779527559,0.024724910973397768,0.03432367902427078,0.584251968503937,0.03204250385728473,0.04448212649641988,0.5865675979899729,0.0204667053888206,0.02841234199815818,0.5889763779527559,0.024724910973397768,0.03432367902427078,0.587516214584787,0.01889607332670832,0.026231955147698997,0.6184372868745738,0.026346575631387304,0.03657491047524444
ELM,1,AdaBoost,24,0.5763779527559054,0.017358588728384725,0.02409758435403273,0.5716535433070866,0.02531958297765909,0.03514921611198555,0.5811023622047244,0.04281032194982107,0.05943025441476129,0.5780022242653571,0.020406605759573128,0.02832891033743401,0.5716535433070866,0.02531958297765909,0.03514921611198555,0.5742679268949533,0.014624232588715967,0.02030168949410729,0.6081964163928328,0.01170027455533206,0.016242585009311025
ELM,1,AdaBoost,25,0.581496062992126,0.016261320022097178,0.022574331189703336,0.5874015748031496,0.03133818699548409,0.04350437794469255,0.5755905511811024,0.023411131885540934,0.03249986126537512,0.5804763177415267,0.015113431010609127,0.020980805776075168,0.5874015748031496,0.03133818699548409,0.04350437794469255,0.583637007919261,0.02095562944757224,0.029091077403025394,0.6207343914687831,0.012483194752745876,0.017329452484246066
ELM,1,AdaBoost,26,0.5846456692913385,0.014357938999063366,0.01993201472733903,0.5874015748031496,0.024573994542247617,0.03411417343099041,0.5818897637795276,0.011784747674878573,0.016359852498953876,0.5840085752040729,0.013118785836527277,0.01821179436098218,0.5874015748031496,0.024573994542247617,0.03411417343099041,0.585604163455223,0.01813178178085058,0.02517094838697861,0.6145545291090583,0.01701027200638657,0.023614043225107566
ELM,1,AdaBoost,27,0.5881889763779528,0.021032614786130853,0.029197950186231926,0.5968503937007873,0.028780577767711906,0.03995384713396416,0.5795275590551181,0.035685887224014654,0.04953995345387807,0.5871630583127084,0.022926805146137007,0.0318275079629079,0.5968503937007873,0.028780577767711906,0.03995384713396416,0.5916043402679035,0.020810015865581885,0.028888933344541682,0.6192107384214769,0.01814324280573135,0.02518685884019399
ELM,1,AdaBoost,28,0.5807086614173228,0.014887929449755144,0.020667759423651413,0.5921259842519685,0.02834645669291338,0.039351190467370366,0.5692913385826772,0.0450679937677297,0.062564405348749,0.5798384749558774,0.018147127047225483,0.025192251031835887,0.5921259842519685,0.02834645669291338,0.039351190467370366,0.5852603122488533,0.01296571612277058,0.01799929953222528,0.6144305288610578,0.01287804514417941,0.017877592702536596
ELM,1,AdaBoost,29,0.5708661417322834,0.017295970579912435,0.024010656428121505,0.5748031496062992,0.014939894457488414,0.020739898419332718,0.5669291338582678,0.03865492191695613,0.05366163437406798,0.5711114686904084,0.02025720945430856,0.02812151501719079,0.5748031496062992,0.014939894457488414,0.020739898419332718,0.5726297043729429,0.011347149621660694,0.015752369012503445,0.6065565131130263,0.025798123919291673,0.03581353743950181
ELM,1,AdaBoost,30,0.5940944881889763,0.008480574499424454,0.011772924779096148,0.6023622047244095,0.020074879974774747,0.027868401121698326,0.5858267716535434,0.01602125192864237,0.022241063248209948,0.5925882321085982,0.00805129623093828,0.011176991005443036,0.6023622047244095,0.020074879974774747,0.027868401121698326,0.5972864492714375,0.011742125168430338,0.016300682974254143,0.619257238514477,0.013537153310144103,0.018792581523130885
ELM,1,AdaBoost,31,0.5771653543307086,0.01541980789572137,0.02140612507758298,0.5724409448818898,0.023960825282996763,0.03326295803673801,0.5818897637795276,0.022602677314027285,0.03137754639644819,0.577969241256688,0.015590669067011037,0.021643318408930762,0.5724409448818898,0.023960825282996763,0.03326295803673801,0.5750127135889563,0.017492440616378058,0.02428340056365301,0.6126030752061504,0.01760157518449855,0.024434903632386016
ELM,1,AdaBoost,32,0.571259842519685,0.01740317803566953,0.024159484236010255,0.578740157480315,0.01408546757480183,0.019553763751240426,0.5637795275590551,0.03516080875868678,0.04881102768642591,0.570827776265391,0.019136830644368906,0.026566179885778644,0.578740157480315,0.01408546757480183,0.019553763751240426,0.5745233614542646,0.012352953490083052,0.017148648626138577,0.6021498542997085,0.024239745966053123,0.03365016201934314
ELM,1,LR,1,0.5511811023622047,0.022547749705947008,0.031301294652150834,0.5464566929133858,0.047597106329787135,0.06607537644545831,0.5559055118110237,0.007634141507742237,0.010597887410779138,0.5506868756824248,0.02044785391393487,0.02838617195557206,0.5464566929133858,0.047597106329787135,0.06607537644545831,0.5482021987515929,0.03383322746801226,0.04696804939830317,0.5664052328104656,0.01472868178335727,0.020446688221709138
ELM,1,LR,2,0.5582677165354331,0.015278431426718283,0.0212098630749061,0.5456692913385827,0.012842131047480394,0.017827735943542807,0.5708661417322834,0.021849506969309606,0.030331978337962424,0.559956625229157,0.016153787184921557,0.02242505167999119,0.5456692913385827,0.012842131047480394,0.017827735943542807,0.5526706649423596,0.013594417324552792,0.018872076719385376,0.5747318494636989,0.014229398562916249,0.019753571994958707
ELM,1,LR,3,0.5507874015748031,0.012286997271123786,0.01705708671549517,0.537007874015748,0.014646515935227002,0.020332623738281284,0.5645669291338583,0.023037383997366632,0.03198101601802534,0.5524440688410733,0.013211544146011516,0.018340563538149154,0.537007874015748,0.014646515935227002,0.020332623738281284,0.5444875868764645,0.011249881888486534,0.015617339751670904,0.5750232500465,0.012877477247388842,0.017876804335404388
ELM,1,LR,4,0.5622047244094488,0.013841256560036942,0.01921474451295074,0.5858267716535432,0.022739415871171096,0.03156736994528506,0.5385826771653542,0.03435814839255344,0.04769675646408231,0.5598303552931867,0.014386351116000609,0.019971457068838384,0.5858267716535432,0.022739415871171096,0.03156736994528506,0.572194146897312,0.012778438356968137,0.017739316314137995,0.5776396552793105,0.012247582708948294,0.01700237053138234
ELM,1,LR,5,0.5677165354330709,0.01517664194283181,0.02106855661775749,0.5732283464566928,0.024724910973397785,0.03432367902427081,0.5622047244094489,0.04048806340844864,0.05620644273466266,0.5677208807614298,0.01770467366874768,0.024578027273359424,0.5732283464566928,0.024724910973397785,0.03432367902427081,0.5699534561116293,0.013458478343341334,0.018683363159890314,0.5932047864095729,0.007568075808477117,0.010506173517106083
ELM,1,LR,6,0.5562992125984252,0.0034322038925517053,0.004764662848758007,0.5582677165354331,0.0062992125984251855,0.008744708992748956,0.5543307086614173,0.010083660216429664,0.013998364525191957,0.5561225094876661,0.0039709327743390425,0.005512538432191575,0.5582677165354331,0.0062992125984251855,0.008744708992748956,0.5571602452766751,0.00309911748481311,0.004302264785571136,0.5916175832351664,0.008107623959829594,0.011255186429026634
