fold,model,probe_type,clf,n_train,n_val,n_test,best_layer,accuracy,true_accuracy,false_accuracy,precision,recall,f1,auc,tp,fn,tn,fp,n_total
0,base,avg_ensemble,AdaBoost,1524,508,508,,0.6692913385826772,0.7165354330708661,0.6220472440944882,0.6546762589928058,0.7165354330708661,0.6842105263157895,0.7531000062000124,182,72,158,96,508
1,base,per_layer,LR,1524,508,508,24,0.6535433070866141,0.6299212598425197,0.6771653543307087,0.6611570247933884,0.6299212598425197,0.6451612903225806,0.7012059024118049,160,94,172,82,508
1,base,per_layer,RF,1524,508,508,16,0.639763779527559,0.65748031496063,0.6220472440944882,0.6349809885931559,0.65748031496063,0.6460348162475822,0.705530411060822,167,87,158,96,508
1,base,per_layer,AdaBoost,1524,508,508,17,0.6456692913385826,0.6653543307086615,0.6259842519685039,0.6401515151515151,0.6653543307086615,0.6525096525096525,0.694269638539277,169,85,159,95,508
1,base,mid_band,LR,1524,508,508,,0.718503937007874,0.7047244094488189,0.7322834645669292,0.7246963562753036,0.7047244094488189,0.7145708582834331,0.7693750387500775,179,75,186,68,508
1,base,mid_band,RF,1524,508,508,,0.6377952755905512,0.6141732283464567,0.6614173228346457,0.6446280991735537,0.6141732283464567,0.6290322580645161,0.6881858763717528,156,98,168,86,508
1,base,mid_band,AdaBoost,1524,508,508,,0.6299212598425197,0.6417322834645669,0.6181102362204725,0.6269230769230769,0.6417322834645669,0.6342412451361867,0.6875271250542501,163,91,157,97,508
1,base,full_layer,LR,1524,508,508,,0.6771653543307087,0.6968503937007874,0.65748031496063,0.6704545454545454,0.6968503937007874,0.6833976833976834,0.7528675057350114,177,77,167,87,508
1,base,full_layer,RF,1524,508,508,,0.6161417322834646,0.6259842519685039,0.6062992125984252,0.6138996138996139,0.6259842519685039,0.6198830409356725,0.6800716101432203,159,95,154,100,508
1,base,full_layer,AdaBoost,1524,508,508,,0.639763779527559,0.6692913385826772,0.610236220472441,0.6319702602230484,0.6692913385826772,0.6500956022944551,0.6791726083452168,170,84,155,99,508
1,base,init_band,LR,1524,508,508,,0.6003937007874016,0.5905511811023622,0.610236220472441,0.6024096385542169,0.5905511811023622,0.5964214711729622,0.649513299026598,150,104,155,99,508
1,base,init_band,RF,1524,508,508,,0.5649606299212598,0.4921259842519685,0.6377952755905512,0.576036866359447,0.4921259842519685,0.5307855626326964,0.5847774195548392,125,129,162,92,508
1,base,init_band,AdaBoost,1524,508,508,,0.5649606299212598,0.5551181102362205,0.5748031496062992,0.5662650602409639,0.5551181102362205,0.5606361829025845,0.5757409014818029,141,113,146,108,508
1,base,init_band_emb,LR,1524,508,508,,0.6003937007874016,0.5905511811023622,0.610236220472441,0.6024096385542169,0.5905511811023622,0.5964214711729622,0.649497798995598,150,104,155,99,508
1,base,init_band_emb,RF,1524,508,508,,0.5669291338582677,0.5,0.6338582677165354,0.5772727272727273,0.5,0.5358649789029536,0.5638213776427553,127,127,161,93,508
1,base,init_band_emb,AdaBoost,1524,508,508,,0.5787401574803149,0.5590551181102362,0.5984251968503937,0.5819672131147541,0.5590551181102362,0.570281124497992,0.6032844565689132,142,112,152,102,508
1,base,end_band,LR,1524,508,508,,0.6889763779527559,0.6850393700787402,0.6929133858267716,0.6904761904761905,0.6850393700787402,0.6877470355731226,0.7630510261020522,174,80,176,78,508
1,base,end_band,RF,1524,508,508,,0.6240157480314961,0.5905511811023622,0.65748031496063,0.6329113924050633,0.5905511811023622,0.6109979633401222,0.6831018662037324,150,104,167,87,508
1,base,end_band,AdaBoost,1524,508,508,,0.610236220472441,0.6496062992125984,0.5708661417322834,0.6021897810218978,0.6496062992125984,0.625,0.6558063116126231,165,89,145,109,508
1,base,ib_no_pca,LR,1524,508,508,,0.5669291338582677,0.562992125984252,0.5708661417322834,0.5674603174603174,0.562992125984252,0.5652173913043478,0.6076322152644306,143,111,145,109,508
1,base,ib_no_pca,RF,1524,508,508,,0.5728346456692913,0.5039370078740157,0.6417322834645669,0.5844748858447488,0.5039370078740157,0.5412262156448203,0.5799801599603199,128,126,163,91,508
1,base,ib_no_pca,AdaBoost,1524,508,508,,0.6141732283464567,0.6299212598425197,0.5984251968503937,0.6106870229007634,0.6299212598425197,0.6201550387596899,0.6131967263934528,160,94,152,102,508
1,base,vote_ensemble,LR,1524,508,508,,0.6673228346456693,0.6614173228346457,0.6732283464566929,0.6693227091633466,0.6614173228346457,0.6653465346534654,,168,86,171,83,508
1,base,vote_ensemble,RF,1524,508,508,,0.6751968503937008,0.6338582677165354,0.7165354330708661,0.6909871244635193,0.6338582677165354,0.6611909650924025,,161,93,182,72,508
1,base,vote_ensemble,AdaBoost,1524,508,508,,0.6968503937007874,0.7007874015748031,0.6929133858267716,0.6953125,0.7007874015748031,0.6980392156862745,,178,76,176,78,508
1,base,avg_ensemble,LR,1524,508,508,,0.6633858267716536,0.65748031496063,0.6692913385826772,0.6653386454183267,0.65748031496063,0.6613861386138614,0.7378634757269515,167,87,170,84,508
1,base,avg_ensemble,RF,1524,508,508,,0.6594488188976378,0.6653543307086615,0.6535433070866141,0.6575875486381323,0.6653543307086615,0.6614481409001957,0.7247581995163992,169,85,166,88,508
1,base,avg_ensemble,AdaBoost,1524,508,508,,0.6751968503937008,0.6496062992125984,0.7007874015748031,0.6846473029045643,0.6496062992125984,0.6666666666666666,0.7453034906069813,165,89,178,76,508
2,base,per_layer,LR,1524,508,508,18,0.6456692913385826,0.6811023622047244,0.610236220472441,0.6360294117647058,0.6811023622047244,0.6577946768060836,0.7003689007378013,173,81,155,99,508
2,base,per_layer,RF,1524,508,508,16,0.6673228346456693,0.6614173228346457,0.6732283464566929,0.6693227091633466,0.6614173228346457,0.6653465346534654,0.7123271746543494,168,86,171,83,508
2,base,per_layer,AdaBoost,1524,508,508,16,0.6751968503937008,0.6968503937007874,0.6535433070866141,0.6679245283018868,0.6968503937007874,0.6820809248554913,0.7163261826523653,177,77,166,88,508
2,base,mid_band,LR,1524,508,508,,0.6968503937007874,0.7125984251968503,0.6811023622047244,0.6908396946564885,0.7125984251968503,0.7015503875968992,0.7722890445780892,181,73,173,81,508
