method,ck,fold,clf,layer,accuracy,true_accuracy,false_accuracy,precision,recall,f1,auc
RepNoise,1,2,LR,2,0.5413385826771654,0.547244094488189,0.5354330708661418,0.5408560311284046,0.547244094488189,0.5440313111545988,0.5755316510633022
RepNoise,1,2,LR,3,0.5433070866141733,0.5551181102362205,0.531496062992126,0.5423076923076923,0.5551181102362205,0.5486381322957199,0.5631316262632525
RepNoise,1,2,LR,4,0.562992125984252,0.594488188976378,0.531496062992126,0.5592592592592592,0.594488188976378,0.5763358778625954,0.573020646041292
RepNoise,1,2,LR,5,0.5807086614173228,0.6062992125984252,0.5551181102362205,0.5767790262172284,0.6062992125984252,0.5911708253358925,0.5967976935953871
RepNoise,1,2,LR,6,0.5649606299212598,0.5905511811023622,0.5393700787401575,0.5617977528089888,0.5905511811023622,0.5758157389635317,0.6011687023374046
RepNoise,1,2,LR,7,0.5649606299212598,0.5866141732283464,0.5433070866141733,0.5622641509433962,0.5866141732283464,0.5741811175337187,0.5932791865583731
RepNoise,1,2,LR,8,0.5905511811023622,0.594488188976378,0.5866141732283464,0.58984375,0.594488188976378,0.592156862745098,0.5957901915803832
RepNoise,1,2,LR,9,0.5826771653543307,0.6220472440944882,0.5433070866141733,0.5766423357664233,0.6220472440944882,0.5984848484848485,0.6205592411184822
RepNoise,1,2,LR,10,0.6023622047244095,0.6299212598425197,0.5748031496062992,0.5970149253731343,0.6299212598425197,0.6130268199233716,0.6352377704755409
RepNoise,1,2,LR,11,0.6062992125984252,0.610236220472441,0.6023622047244095,0.60546875,0.610236220472441,0.6078431372549019,0.623504247008494
RepNoise,1,2,LR,12,0.6200787401574803,0.6062992125984252,0.6338582677165354,0.6234817813765182,0.6062992125984252,0.6147704590818364,0.6387872775745552
RepNoise,1,2,LR,13,0.6279527559055118,0.6220472440944882,0.6338582677165354,0.6294820717131474,0.6220472440944882,0.6257425742574257,0.6695858391716785
RepNoise,1,2,LR,14,0.6279527559055118,0.6614173228346457,0.594488188976378,0.6199261992619927,0.6614173228346457,0.64,0.6784673569347139
RepNoise,1,2,LR,15,0.6456692913385826,0.6417322834645669,0.6496062992125984,0.6468253968253969,0.6417322834645669,0.6442687747035574,0.7008804017608035
RepNoise,1,2,LR,16,0.6614173228346457,0.6732283464566929,0.6496062992125984,0.6576923076923077,0.6732283464566929,0.6653696498054474,0.7088784177568356
RepNoise,1,2,LR,17,0.655511811023622,0.6653543307086615,0.6456692913385826,0.6525096525096525,0.6653543307086615,0.6588693957115009,0.7135284270568543
RepNoise,1,2,LR,18,0.6594488188976378,0.65748031496063,0.6614173228346457,0.6600790513833992,0.65748031496063,0.6587771203155819,0.7123039246078492
RepNoise,1,2,LR,19,0.655511811023622,0.6771653543307087,0.6338582677165354,0.6490566037735849,0.6771653543307087,0.6628131021194605,0.707002914005828
RepNoise,1,2,LR,20,0.6456692913385826,0.6732283464566929,0.6181102362204725,0.6380597014925373,0.6732283464566929,0.6551724137931034,0.7065069130138261
RepNoise,1,2,LR,21,0.6279527559055118,0.6456692913385826,0.610236220472441,0.623574144486692,0.6456692913385826,0.6344294003868471,0.6984468968937938
RepNoise,1,2,LR,22,0.655511811023622,0.6614173228346457,0.6496062992125984,0.6536964980544747,0.6614173228346457,0.6575342465753424,0.7123349246698494
RepNoise,1,2,LR,23,0.6594488188976378,0.6535433070866141,0.6653543307086615,0.6613545816733067,0.6535433070866141,0.6574257425742575,0.7034844069688139
RepNoise,1,2,LR,24,0.6515748031496063,0.6417322834645669,0.6614173228346457,0.6546184738955824,0.6417322834645669,0.6481113320079522,0.7101029202058404
RepNoise,1,2,LR,25,0.6318897637795275,0.6338582677165354,0.6299212598425197,0.6313725490196078,0.6338582677165354,0.6326129666011788,0.7028024056048111
RepNoise,1,2,LR,26,0.6279527559055118,0.6614173228346457,0.594488188976378,0.6199261992619927,0.6614173228346457,0.64,0.7014849029698059
RepNoise,1,2,LR,27,0.639763779527559,0.6535433070866141,0.6259842519685039,0.6360153256704981,0.6535433070866141,0.6446601941747573,0.7106609213218427
RepNoise,1,2,LR,28,0.6417322834645669,0.6456692913385826,0.6377952755905512,0.640625,0.6456692913385826,0.6431372549019608,0.7087699175398351
RepNoise,1,2,LR,29,0.6535433070866141,0.65748031496063,0.6496062992125984,0.65234375,0.65748031496063,0.6549019607843137,0.7015159030318061
RepNoise,1,2,LR,30,0.6417322834645669,0.6299212598425197,0.6535433070866141,0.6451612903225806,0.6299212598425197,0.6374501992031872,0.7017174034348068
RepNoise,1,2,LR,31,0.6456692913385826,0.6535433070866141,0.6377952755905512,0.6434108527131783,0.6535433070866141,0.6484375,0.6921693843387686
RepNoise,1,2,LR,32,0.6456692913385826,0.6299212598425197,0.6614173228346457,0.6504065040650406,0.6299212598425197,0.64,0.6920763841527684
RepNoise,1,2,RF,1,0.5452755905511811,0.562992125984252,0.5275590551181102,0.5437262357414449,0.562992125984252,0.5531914893617021,0.5683783867567735
RepNoise,1,2,RF,2,0.5807086614173228,0.5787401574803149,0.5826771653543307,0.5810276679841897,0.5787401574803149,0.5798816568047337,0.6071439642879287
RepNoise,1,2,RF,3,0.5610236220472441,0.5354330708661418,0.5866141732283464,0.5643153526970954,0.5354330708661418,0.5494949494949495,0.5795849091698184
RepNoise,1,2,RF,4,0.547244094488189,0.5433070866141733,0.5511811023622047,0.5476190476190477,0.5433070866141733,0.5454545454545454,0.5547228594457189
RepNoise,1,2,RF,5,0.5551181102362205,0.547244094488189,0.562992125984252,0.556,0.547244094488189,0.5515873015873016,0.5770661541323083
RepNoise,1,2,RF,6,0.5649606299212598,0.5748031496062992,0.5551181102362205,0.5637065637065637,0.5748031496062992,0.5692007797270955,0.5850951701903404
RepNoise,1,2,RF,7,0.5216535433070866,0.48031496062992124,0.562992125984252,0.5236051502145923,0.48031496062992124,0.5010266940451745,0.5601866203732407
RepNoise,1,2,RF,8,0.5610236220472441,0.5393700787401575,0.5826771653543307,0.5637860082304527,0.5393700787401575,0.5513078470824949,0.585978671957344
RepNoise,1,2,RF,9,0.5669291338582677,0.547244094488189,0.5866141732283464,0.569672131147541,0.547244094488189,0.5582329317269076,0.5904891809783619
RepNoise,1,2,RF,10,0.5334645669291339,0.531496062992126,0.5354330708661418,0.5335968379446641,0.531496062992126,0.5325443786982249,0.5660766321532644
RepNoise,1,2,RF,11,0.5905511811023622,0.5551181102362205,0.6259842519685039,0.597457627118644,0.5551181102362205,0.5755102040816327,0.6086784673569348
RepNoise,1,2,RF,12,0.5649606299212598,0.5393700787401575,0.5905511811023622,0.5684647302904564,0.5393700787401575,0.5535353535353535,0.5964101928203855
RepNoise,1,2,RF,13,0.5748031496062992,0.562992125984252,0.5866141732283464,0.5766129032258065,0.562992125984252,0.5697211155378487,0.6338427676855354
RepNoise,1,2,RF,14,0.610236220472441,0.6141732283464567,0.6062992125984252,0.609375,0.6141732283464567,0.611764705882353,0.6626883253766508
RepNoise,1,2,RF,15,0.6318897637795275,0.6023622047244095,0.6614173228346457,0.6401673640167364,0.6023622047244095,0.6206896551724138,0.6879533759067518
RepNoise,1,2,RF,16,0.6437007874015748,0.6299212598425197,0.65748031496063,0.6477732793522267,0.6299212598425197,0.6387225548902196,0.6974006448012896
RepNoise,1,2,RF,17,0.6338582677165354,0.6456692913385826,0.6220472440944882,0.6307692307692307,0.6456692913385826,0.6381322957198443,0.7015779031558063
RepNoise,1,2,RF,18,0.6496062992125984,0.6338582677165354,0.6653543307086615,0.6544715447154471,0.6338582677165354,0.644,0.7041276582553165
RepNoise,1,2,RF,19,0.6496062992125984,0.6456692913385826,0.6535433070866141,0.6507936507936508,0.6456692913385826,0.6482213438735178,0.6883253766507533
RepNoise,1,2,RF,20,0.6338582677165354,0.6181102362204725,0.6496062992125984,0.6382113821138211,0.6181102362204725,0.628,0.6929288858577717
RepNoise,1,2,RF,21,0.6358267716535433,0.6496062992125984,0.6220472440944882,0.632183908045977,0.6496062992125984,0.6407766990291263,0.7038796577593155
RepNoise,1,2,RF,22,0.6240157480314961,0.6535433070866141,0.594488188976378,0.6171003717472119,0.6535433070866141,0.6347992351816444,0.678002356004712
RepNoise,1,2,RF,23,0.6200787401574803,0.65748031496063,0.5826771653543307,0.6117216117216118,0.65748031496063,0.6337760910815939,0.688984127968256
RepNoise,1,2,RF,24,0.6082677165354331,0.6220472440944882,0.594488188976378,0.6053639846743295,0.6220472440944882,0.6135922330097088,0.6807071114142229
RepNoise,1,2,RF,25,0.6122047244094488,0.6377952755905512,0.5866141732283464,0.6067415730337079,0.6377952755905512,0.6218809980806143,0.677979105958212
RepNoise,1,2,RF,26,0.6240157480314961,0.6653543307086615,0.5826771653543307,0.6145454545454545,0.6653543307086615,0.6389413988657845,0.6876433752867506
RepNoise,1,2,RF,27,0.6240157480314961,0.65748031496063,0.5905511811023622,0.6162361623616236,0.65748031496063,0.6361904761904762,0.695215140430281
RepNoise,1,2,RF,28,0.6259842519685039,0.6377952755905512,0.6141732283464567,0.6230769230769231,0.6377952755905512,0.6303501945525292,0.6850781201562404
RepNoise,1,2,RF,29,0.6692913385826772,0.65748031496063,0.6811023622047244,0.6733870967741935,0.65748031496063,0.6653386454183267,0.7136834273668549
RepNoise,1,2,RF,30,0.6338582677165354,0.6417322834645669,0.6259842519685039,0.6317829457364341,0.6417322834645669,0.63671875,0.6774676049352099
RepNoise,1,2,RF,31,0.6200787401574803,0.6023622047244095,0.6377952755905512,0.6244897959183674,0.6023622047244095,0.6132264529058116,0.6780488560977121
RepNoise,1,2,RF,32,0.5964566929133859,0.6023622047244095,0.5905511811023622,0.5953307392996109,0.6023622047244095,0.598825831702544,0.6606345712691426
RepNoise,1,2,AdaBoost,1,0.5236220472440944,0.5511811023622047,0.49606299212598426,0.5223880597014925,0.5511811023622047,0.5363984674329502,0.5442060884121769
RepNoise,1,2,AdaBoost,2,0.5374015748031497,0.547244094488189,0.5275590551181102,0.5366795366795367,0.547244094488189,0.5419103313840156,0.5569006138012276
RepNoise,1,2,AdaBoost,3,0.5531496062992126,0.5708661417322834,0.5354330708661418,0.5513307984790875,0.5708661417322834,0.5609284332688588,0.5704476408952818
RepNoise,1,2,AdaBoost,4,0.5216535433070866,0.48031496062992124,0.562992125984252,0.5236051502145923,0.48031496062992124,0.5010266940451745,0.5432140864281728
RepNoise,1,2,AdaBoost,5,0.5255905511811023,0.5748031496062992,0.4763779527559055,0.5232974910394266,0.5748031496062992,0.5478424015009381,0.5400985801971604
RepNoise,1,2,AdaBoost,6,0.5531496062992126,0.5669291338582677,0.5393700787401575,0.5517241379310345,0.5669291338582677,0.5592233009708738,0.5678513857027714
RepNoise,1,2,AdaBoost,7,0.5413385826771654,0.5748031496062992,0.5078740157480315,0.5387453874538746,0.5748031496062992,0.5561904761904762,0.5364095728191456
RepNoise,1,2,AdaBoost,8,0.5551181102362205,0.5748031496062992,0.5354330708661418,0.553030303030303,0.5748031496062992,0.5637065637065637,0.5985801971603942
RepNoise,1,2,AdaBoost,9,0.5393700787401575,0.5,0.5787401574803149,0.5427350427350427,0.5,0.5204918032786885,0.5728268956537914
RepNoise,1,2,AdaBoost,10,0.5610236220472441,0.594488188976378,0.5275590551181102,0.5571955719557196,0.594488188976378,0.5752380952380952,0.5725866451732904
RepNoise,1,2,AdaBoost,11,0.5807086614173228,0.610236220472441,0.5511811023622047,0.5762081784386617,0.610236220472441,0.5927342256214149,0.6166067332134665
RepNoise,1,2,AdaBoost,12,0.5748031496062992,0.5826771653543307,0.5669291338582677,0.5736434108527132,0.5826771653543307,0.578125,0.6053072106144213
RepNoise,1,2,AdaBoost,13,0.5846456692913385,0.594488188976378,0.5748031496062992,0.583011583011583,0.594488188976378,0.5886939571150097,0.6256587513175027
RepNoise,1,2,AdaBoost,14,0.6023622047244095,0.6023622047244095,0.6023622047244095,0.6023622047244095,0.6023622047244095,0.6023622047244095,0.6437007874015748
RepNoise,1,2,AdaBoost,15,0.6043307086614174,0.5984251968503937,0.610236220472441,0.6055776892430279,0.5984251968503937,0.601980198019802,0.6333080166160333
RepNoise,1,2,AdaBoost,16,0.6279527559055118,0.6259842519685039,0.6299212598425197,0.6284584980237155,0.6259842519685039,0.6272189349112426,0.6902318804637609
RepNoise,1,2,AdaBoost,17,0.6220472440944882,0.6496062992125984,0.594488188976378,0.6156716417910447,0.6496062992125984,0.632183908045977,0.6711048422096845
RepNoise,1,2,AdaBoost,18,0.655511811023622,0.6732283464566929,0.6377952755905512,0.6501901140684411,0.6732283464566929,0.6615087040618955,0.7056234112468225
RepNoise,1,2,AdaBoost,19,0.6358267716535433,0.6338582677165354,0.6377952755905512,0.6363636363636364,0.6338582677165354,0.6351084812623274,0.7099944199888399
RepNoise,1,2,AdaBoost,20,0.6181102362204725,0.6181102362204725,0.6181102362204725,0.6181102362204725,0.6181102362204725,0.6181102362204725,0.6786146072292144
RepNoise,1,2,AdaBoost,21,0.6456692913385826,0.7047244094488189,0.5866141732283464,0.6302816901408451,0.7047244094488189,0.6654275092936803,0.7210614421228843
RepNoise,1,2,AdaBoost,22,0.6299212598425197,0.6377952755905512,0.6220472440944882,0.627906976744186,0.6377952755905512,0.6328125,0.6775761051522103
RepNoise,1,2,AdaBoost,23,0.6437007874015748,0.6417322834645669,0.6456692913385826,0.6442687747035574,0.6417322834645669,0.6429980276134122,0.6889453778907557
RepNoise,1,2,AdaBoost,24,0.6240157480314961,0.6692913385826772,0.5787401574803149,0.6137184115523465,0.6692913385826772,0.64030131826742,0.662982825965652
RepNoise,1,2,AdaBoost,25,0.639763779527559,0.6692913385826772,0.610236220472441,0.6319702602230484,0.6692913385826772,0.6500956022944551,0.6858531217062434
RepNoise,1,2,AdaBoost,26,0.6062992125984252,0.6299212598425197,0.5826771653543307,0.6015037593984962,0.6299212598425197,0.6153846153846154,0.671507843015686
RepNoise,1,2,AdaBoost,27,0.5984251968503937,0.6023622047244095,0.594488188976378,0.59765625,0.6023622047244095,0.6,0.6577825655651311
RepNoise,1,2,AdaBoost,28,0.6299212598425197,0.6535433070866141,0.6062992125984252,0.6240601503759399,0.6535433070866141,0.6384615384615384,0.6784053568107137
RepNoise,1,2,AdaBoost,29,0.6043307086614174,0.6496062992125984,0.5590551181102362,0.5956678700361011,0.6496062992125984,0.6214689265536724,0.6597588195176389
RepNoise,1,2,AdaBoost,30,0.6358267716535433,0.6614173228346457,0.610236220472441,0.6292134831460674,0.6614173228346457,0.6449136276391555,0.6916888833777667
RepNoise,1,2,AdaBoost,31,0.6318897637795275,0.65748031496063,0.6062992125984252,0.6254681647940075,0.65748031496063,0.6410748560460653,0.6806063612127224
RepNoise,1,2,AdaBoost,32,0.6082677165354331,0.610236220472441,0.6062992125984252,0.6078431372549019,0.610236220472441,0.6090373280943026,0.6735770971541943
RepNoise,1,3,LR,1,0.5354330708661418,0.531496062992126,0.5393700787401575,0.5357142857142857,0.531496062992126,0.5335968379446641,0.5608221216442433
RepNoise,1,3,LR,2,0.5511811023622047,0.5118110236220472,0.5905511811023622,0.5555555555555556,0.5118110236220472,0.5327868852459017,0.5670996341992683
