model,clf,layer,mean_accuracy,std_accuracy,ci95_accuracy,mean_true_accuracy,std_true_accuracy,ci95_true_accuracy,mean_false_accuracy,std_false_accuracy,ci95_false_accuracy,mean_precision,std_precision,ci95_precision,mean_recall,std_recall,ci95_recall,mean_f1,std_f1,ci95_f1,mean_auc,std_auc,ci95_auc
ELM,AdaBoost,11,0.5397637795275589,0.01343206465293858,0.018646695079175848,0.5456692913385827,0.011301338657013622,0.015688773198224065,0.5338582677165353,0.029419750696487255,0.04084116140870078,0.5397044061731157,0.014280152403746313,0.019824029621430015,0.5456692913385827,0.011301338657013622,0.015688773198224065,0.5425059183371618,0.008707169107756789,0.012087488524680409,0.5501116002232005,0.018583563059028304,0.02579812134618688
ELM,AdaBoost,12,0.5322834645669291,0.02287533708084087,0.03175605883392517,0.5401574803149607,0.039085586286585386,0.054259492364588095,0.5244094488188976,0.020593223355310275,0.028587977092548098,0.5313258554325357,0.022016969108788444,0.030564453056693405,0.5401574803149607,0.039085586286585386,0.054259492364588095,0.5354711477518327,0.029136299324086446,0.04044766782096887,0.5565363630727261,0.01998147105658504,0.027738728754853507
ELM,AdaBoost,13,0.5433070866141732,0.017340720902004135,0.024072779834485268,0.5464566929133858,0.009771396571646326,0.013564873091146994,0.5401574803149607,0.03844584445900381,0.053371388331698515,0.5438197282018653,0.019401451826522958,0.02693353297874028,0.5464566929133858,0.009771396571646326,0.013564873091146994,0.5448663148202553,0.009347791314579707,0.01297681471988766,0.563009176018352,0.023427245671464786,0.03252223078640236
ELM,AdaBoost,14,0.5496062992125984,0.02276666503118261,0.031605197843752424,0.5519685039370078,0.03307086614173228,0.045909722211932104,0.5472440944881889,0.040380728834513664,0.056057438458452534,0.5498273319474853,0.02348833172346763,0.032607031821441944,0.5519685039370078,0.03307086614173228,0.045909722211932104,0.5504184703482198,0.023805355220011013,0.03304713098904723,0.5595092690185381,0.016866551297940947,0.023414526896367856
ELM,AdaBoost,15,0.5503937007874016,0.01355840579348231,0.018822084699799714,0.5598425196850393,0.031239109330515574,0.04336683609572442,0.5409448818897638,0.040350009371083344,0.05601479300651483,0.5500505054664521,0.01613010495292658,0.02239217547143989,0.5598425196850393,0.031239109330515574,0.04336683609572442,0.5542782872460522,0.01589909085214978,0.02207147648677318,0.5771343542687086,0.02229302022939053,0.030947673447983423
ELM,AdaBoost,16,0.5476377952755905,0.013489639133080144,0.018726621270962522,0.5417322834645669,0.016251785386260095,0.022561094993203478,0.5535433070866141,0.025708390106007093,0.03568896693616946,0.5484763561117745,0.01500049986850426,0.02082403221771444,0.5417322834645669,0.016251785386260095,0.022561094993203478,0.5449239628588372,0.012410384308199901,0.017228375383062593,0.5626991753983508,0.007852759030942626,0.010901377186879231
ELM,AdaBoost,17,0.5429133858267716,0.01383005359862228,0.019199192309259015,0.5614173228346456,0.016059903979819767,0.022294720897358622,0.5244094488188976,0.027660107197244575,0.03839838461851805,0.5416583986548311,0.014067006594689178,0.019528135802304964,0.5614173228346456,0.016059903979819767,0.022294720897358622,0.5511997830722658,0.011832996610585698,0.0164268327596414,0.5625751751503503,0.02268649020871882,0.03149389734705758
ELM,AdaBoost,18,0.5322834645669291,0.0123624554866989,0.017161839512135416,0.5299212598425196,0.018058810930991688,0.025069648607522185,0.5346456692913386,0.02810483196468463,0.03901576157037764,0.5327317532764859,0.013579263320761942,0.01885103958956075,0.5299212598425196,0.018058810930991688,0.025069648607522185,0.531106384991529,0.011536223921815615,0.016014846220095354,0.5439348378696757,0.00911547189902858,0.012654303667812991
ELM,AdaBoost,19,0.5397637795275589,0.02656824065953227,0.036882630866437754,0.526771653543307,0.038203179435301444,0.05303451527306794,0.552755905511811,0.022075347667521557,0.03064549548851493,0.5403550328825728,0.026604427894439238,0.0369328668020518,0.526771653543307,0.038203179435301444,0.05303451527306794,0.53332579065699,0.03196765841113589,0.04437822436011674,0.5551692603385207,0.02345710218154343,0.03256367826703543
ELM,AdaBoost,20,0.5543307086614173,0.009691758759914291,0.013454318084860958,0.5354330708661417,0.029037935298560268,0.04031111666236901,0.573228346456693,0.022902424523226748,0.03179366223233747,0.5564607611679298,0.00960212848173035,0.013329891311290299,0.5354330708661417,0.029037935298560268,0.04031111666236901,0.5453941234420873,0.016839544239665168,0.02337703508899007,0.5682109864219729,0.011981675954625896,0.016633232778143617
