method,ck,fold,probe_type,clf,n_train,n_val,n_test,best_layer,accuracy,true_accuracy,false_accuracy,precision,recall,f1,auc,tp,fn,tn,fp,n_total
GradDiff,1,0,init_band,RF,1524,508,508,,0.5610236220472441,0.46062992125984253,0.6614173228346457,0.5763546798029556,0.46062992125984253,0.5120350109409191,0.5689751379502759,117,137,168,86,508
GradDiff,1,0,init_band,AdaBoost,1524,508,508,,0.5255905511811023,0.5669291338582677,0.484251968503937,0.5236363636363637,0.5669291338582677,0.5444234404536862,0.56497612995226,144,110,123,131,508
GradDiff,1,0,init_band_emb,LR,1524,508,508,,0.6062992125984252,0.5708661417322834,0.6417322834645669,0.614406779661017,0.5708661417322834,0.5918367346938775,0.644739289478579,145,109,163,91,508
GradDiff,1,0,init_band_emb,RF,1524,508,508,,0.5551181102362205,0.4448818897637795,0.6653543307086615,0.5707070707070707,0.4448818897637795,0.5,0.5718271436542872,113,141,169,85,508
GradDiff,1,0,init_band_emb,AdaBoost,1524,508,508,,0.5433070866141733,0.5748031496062992,0.5118110236220472,0.5407407407407407,0.5748031496062992,0.5572519083969466,0.5612096224192449,146,108,130,124,508
GradDiff,1,0,end_band,LR,1524,508,508,,0.6751968503937008,0.6889763779527559,0.6614173228346457,0.6704980842911877,0.6889763779527559,0.6796116504854369,0.713218426436853,175,79,168,86,508
GradDiff,1,0,end_band,RF,1524,508,508,,0.5866141732283464,0.547244094488189,0.6259842519685039,0.594017094017094,0.547244094488189,0.569672131147541,0.6346100192200385,139,115,159,95,508
GradDiff,1,0,end_band,AdaBoost,1524,508,508,,0.6023622047244095,0.6496062992125984,0.5551181102362205,0.5935251798561151,0.6496062992125984,0.6203007518796992,0.6463977927955855,165,89,141,113,508
GradDiff,1,0,ib_no_pca,LR,1524,508,508,,0.5846456692913385,0.594488188976378,0.5748031496062992,0.583011583011583,0.594488188976378,0.5886939571150097,0.6115537231074462,151,103,146,108,508
GradDiff,1,0,ib_no_pca,RF,1524,508,508,,0.5807086614173228,0.547244094488189,0.6141732283464567,0.5864978902953587,0.547244094488189,0.5661914460285132,0.6246047492094985,139,115,156,98,508
GradDiff,1,0,ib_no_pca,AdaBoost,1524,508,508,,0.5767716535433071,0.5787401574803149,0.5748031496062992,0.5764705882352941,0.5787401574803149,0.5776031434184676,0.5993164486328972,147,107,146,108,508
GradDiff,1,0,vote_ensemble,LR,1524,508,508,,0.6437007874015748,0.65748031496063,0.6299212598425197,0.6398467432950191,0.65748031496063,0.6485436893203883,,167,87,160,94,508
GradDiff,1,0,vote_ensemble,RF,1524,508,508,,0.6338582677165354,0.5826771653543307,0.6850393700787402,0.6491228070175439,0.5826771653543307,0.6141078838174274,,148,106,174,80,508
GradDiff,1,0,vote_ensemble,AdaBoost,1524,508,508,,0.6633858267716536,0.6811023622047244,0.6456692913385826,0.6577946768060836,0.6811023622047244,0.6692456479690522,,173,81,164,90,508
GradDiff,1,0,avg_ensemble,LR,1524,508,508,,0.6456692913385826,0.6614173228346457,0.6299212598425197,0.6412213740458015,0.6614173228346457,0.6511627906976745,0.7113119226238452,168,86,160,94,508
GradDiff,1,0,avg_ensemble,RF,1524,508,508,,0.6161417322834646,0.594488188976378,0.6377952755905512,0.6213991769547325,0.594488188976378,0.607645875251509,0.6902396304792608,151,103,162,92,508
GradDiff,1,0,avg_ensemble,AdaBoost,1524,508,508,,0.6515748031496063,0.6692913385826772,0.6338582677165354,0.6463878326996197,0.6692913385826772,0.6576402321083172,0.721014942029884,170,84,161,93,508
