method,probe_quad,eval_type,clf,n_total,tp,fp,tn,fn,gibberish,precision,recall,f1,auc
PB&J,cross,ib,RF,1146,278,254,319,295,,0.5226,0.4852,0.5032,0.5401
PB&J,cross,ibe,RF,1146,285,256,317,288,,0.5268,0.4974,0.5117,0.5456
PB&J,cross,eb,RF,1146,384,294,279,189,,0.5664,0.6702,0.6139,0.6223
PB&J,cross,pl,AdaBoost,1146,315,246,327,258,,0.5615,0.5497,0.5556,0.5888
PB&J,cross,mb,AdaBoost,1146,160,112,461,413,,0.5882,0.2792,0.3787,0.6205
PB&J,cross,vote,AdaBoost,1146,430,312,261,143,,0.5795,0.7504,0.654,
PB&J,cross,avg,AdaBoost,1146,446,336,237,127,,0.5703,0.7784,0.6583,0.6433
PB&J,cross,fl,AdaBoost,1146,394,348,225,179,,0.531,0.6876,0.5992,0.557
PB&J,cross,ib,AdaBoost,1146,333,282,291,240,,0.5415,0.5812,0.5606,0.5541
PB&J,cross,ibe,AdaBoost,1146,318,271,302,255,,0.5399,0.555,0.5473,0.547
PB&J,cross,eb,AdaBoost,1146,314,230,343,259,,0.5772,0.548,0.5622,0.6107
Llama3-8B,N/A,gen,-,1146,567,500,73,6,0,0.5314,0.9895,0.6915,
Llama3-8B,N/A,logit,-,1146,556,474,99,17,,0.5398,0.9703,0.6937,0.7573
Llama3-8B,base,pl,LR,1146,0,0,573,573,,0.0,0.0,0.0,0.5194
Llama3-8B,base,mb,LR,1146,508,344,229,65,,0.5962,0.8866,0.713,0.7561
Llama3-8B,base,vote,LR,1146,0,0,573,573,,0.0,0.0,0.0,
Llama3-8B,base,avg,LR,1146,0,0,573,573,,0.0,0.0,0.0,0.6091
Llama3-8B,base,fl,LR,1146,376,171,402,197,,0.6874,0.6562,0.6714,0.7538
Llama3-8B,base,ib,LR,1146,0,0,573,573,,0.0,0.0,0.0,0.5527
Llama3-8B,base,ibe,LR,1146,0,0,573,573,,0.0,0.0,0.0,0.5527
Llama3-8B,base,eb,LR,1146,562,553,20,11,,0.504,0.9808,0.6659,0.613
Llama3-8B,base,pl,RF,1146,250,326,247,323,,0.434,0.4363,0.4352,0.4227
Llama3-8B,base,mb,RF,1146,132,121,452,441,,0.5217,0.2304,0.3196,0.5266
Llama3-8B,base,vote,RF,1146,447,452,121,126,,0.4972,0.7801,0.6073,
Llama3-8B,base,avg,RF,1146,524,519,54,49,,0.5024,0.9145,0.6485,0.4867
Llama3-8B,base,fl,RF,1146,227,191,382,346,,0.5431,0.3962,0.4581,0.5554
Llama3-8B,base,ib,RF,1146,338,347,226,235,,0.4934,0.5899,0.5374,0.5059
Llama3-8B,base,ibe,RF,1146,438,444,129,135,,0.4966,0.7644,0.6021,0.5031
Llama3-8B,base,eb,RF,1146,24,20,553,549,,0.5455,0.0419,0.0778,0.4954
Llama3-8B,base,pl,AdaBoost,1146,573,573,0,0,,0.5,1.0,0.6667,0.4597
Llama3-8B,base,mb,AdaBoost,1146,573,572,1,0,,0.5004,1.0,0.6671,0.6814
Llama3-8B,base,vote,AdaBoost,1146,105,59,514,468,,0.6402,0.1832,0.2849,
Llama3-8B,base,avg,AdaBoost,1146,573,539,34,0,,0.5153,1.0,0.6801,0.6823
Llama3-8B,base,fl,AdaBoost,1146,0,0,573,573,,0.0,0.0,0.0,0.5462
Llama3-8B,base,ib,AdaBoost,1146,573,573,0,0,,0.5,1.0,0.6667,0.5202
Llama3-8B,base,ibe,AdaBoost,1146,573,573,0,0,,0.5,1.0,0.6667,0.5086
Llama3-8B,base,eb,AdaBoost,1146,9,26,547,564,,0.2571,0.0157,0.0296,0.4387
Llama3-8B,method,pl,LR,1146,384,167,406,189,,0.6969,0.6702,0.6833,0.7447
Llama3-8B,method,mb,LR,1146,403,166,407,170,,0.7083,0.7033,0.7058,0.7908
Llama3-8B,method,vote,LR,1146,388,178,395,185,,0.6855,0.6771,0.6813,
Llama3-8B,method,avg,LR,1146,391,174,399,182,,0.692,0.6824,0.6872,0.7625
Llama3-8B,method,fl,LR,1146,414,181,392,159,,0.6958,0.7225,0.7089,0.7795
Llama3-8B,method,ib,LR,1146,308,234,339,265,,0.5683,0.5375,0.5525,0.6043
Llama3-8B,method,ibe,LR,1146,308,234,339,265,,0.5683,0.5375,0.5525,0.6043
Llama3-8B,method,eb,LR,1146,403,192,381,170,,0.6773,0.7033,0.6901,0.7715
Llama3-8B,method,pl,RF,1146,407,182,391,166,,0.691,0.7103,0.7005,0.7849
Llama3-8B,method,mb,RF,1146,400,168,405,173,,0.7042,0.6981,0.7011,0.7758
Llama3-8B,method,vote,RF,1146,403,176,397,170,,0.696,0.7033,0.6997,
Llama3-8B,method,avg,RF,1146,412,176,397,161,,0.7007,0.719,0.7097,0.7932
Llama3-8B,method,fl,RF,1146,408,169,404,165,,0.7071,0.712,0.7096,0.7706
Llama3-8B,method,ib,RF,1146,271,193,380,302,,0.5841,0.4729,0.5227,0.5679
Llama3-8B,method,ibe,RF,1146,255,196,377,318,,0.5654,0.445,0.498,0.5567
Llama3-8B,method,eb,RF,1146,386,162,411,187,,0.7044,0.6736,0.6887,0.7624
Llama3-8B,method,pl,AdaBoost,1146,390,189,384,183,,0.6736,0.6806,0.6771,0.7575
Llama3-8B,method,mb,AdaBoost,1146,366,166,407,207,,0.688,0.6387,0.6624,0.7354
Llama3-8B,method,vote,AdaBoost,1146,399,171,402,174,,0.7,0.6963,0.6982,
Llama3-8B,method,avg,AdaBoost,1146,410,165,408,163,,0.713,0.7155,0.7143,0.7979
Llama3-8B,method,fl,AdaBoost,1146,390,176,397,183,,0.689,0.6806,0.6848,0.7542
Llama3-8B,method,ib,AdaBoost,1146,306,267,306,267,,0.534,0.534,0.534,0.5438
Llama3-8B,method,ibe,AdaBoost,1146,326,274,299,247,,0.5433,0.5689,0.5558,0.5528
Llama3-8B,method,eb,AdaBoost,1146,383,185,388,190,,0.6743,0.6684,0.6713,0.7351
Llama3-8B,cross,pl,LR,1146,0,0,573,573,,0.0,0.0,0.0,0.5034
Llama3-8B,cross,mb,LR,1146,573,573,0,0,,0.5,1.0,0.6667,0.5792
Llama3-8B,cross,vote,LR,1146,0,0,573,573,,0.0,0.0,0.0,
Llama3-8B,cross,avg,LR,1146,0,0,573,573,,0.0,0.0,0.0,0.5539
Llama3-8B,cross,fl,LR,1146,573,573,0,0,,0.5,1.0,0.6667,0.5611
Llama3-8B,cross,ib,LR,1146,573,573,0,0,,0.5,1.0,0.6667,0.5252
Llama3-8B,cross,ibe,LR,1146,573,573,0,0,,0.5,1.0,0.6667,0.5252
Llama3-8B,cross,eb,LR,1146,0,0,573,573,,0.0,0.0,0.0,0.508
Llama3-8B,cross,pl,RF,1146,285,248,325,288,,0.5347,0.4974,0.5154,0.5437
Llama3-8B,cross,mb,RF,1146,423,449,124,150,,0.4851,0.7382,0.5855,0.4692
Llama3-8B,cross,vote,RF,1146,109,133,440,464,,0.4504,0.1902,0.2675,
Llama3-8B,cross,avg,RF,1146,150,197,376,423,,0.4323,0.2618,0.3261,0.434
Llama3-8B,cross,fl,RF,1146,517,497,76,56,,0.5099,0.9023,0.6515,0.551
Llama3-8B,cross,ib,RF,1146,0,1,572,573,,0.0,0.0,0.0,0.5432
Llama3-8B,cross,ibe,RF,1146,1,1,572,572,,0.5,0.0017,0.0035,0.5404
Llama3-8B,cross,eb,RF,1146,551,540,33,22,,0.505,0.9616,0.6623,0.513
Llama3-8B,cross,pl,AdaBoost,1146,573,573,0,0,,0.5,1.0,0.6667,0.4822
Llama3-8B,cross,mb,AdaBoost,1146,558,549,24,15,,0.5041,0.9738,0.6643,0.5457
Llama3-8B,cross,vote,AdaBoost,1146,448,438,135,125,,0.5056,0.7818,0.6141,
Llama3-8B,cross,avg,AdaBoost,1146,573,573,0,0,,0.5,1.0,0.6667,0.5255
Llama3-8B,cross,fl,AdaBoost,1146,571,567,6,2,,0.5018,0.9965,0.6674,0.471
Llama3-8B,cross,ib,AdaBoost,1146,0,0,573,573,,0.0,0.0,0.0,0.515
Llama3-8B,cross,ibe,AdaBoost,1146,521,523,50,52,,0.499,0.9092,0.6444,0.5115
Llama3-8B,cross,eb,AdaBoost,1146,0,0,573,573,,0.0,0.0,0.0,0.5144
