method,probe_quad,eval_type,clf,n_total,tp,fp,tn,fn,gibberish,precision,recall,f1,auc
RMU,base,vote,AdaBoost,1146,327,296,277,246,,0.5249,0.5707,0.5468,
RMU,base,avg,AdaBoost,1146,509,489,84,64,,0.51,0.8883,0.648,0.5393
RMU,base,fl,AdaBoost,1146,232,214,359,341,,0.5202,0.4049,0.4553,0.5159
RMU,base,ib,AdaBoost,1146,227,189,384,346,,0.5457,0.3962,0.459,0.551
RMU,base,ibe,AdaBoost,1146,152,130,443,421,,0.539,0.2653,0.3556,0.5556
RMU,base,eb,AdaBoost,1146,151,163,410,422,,0.4809,0.2635,0.3405,0.4858
RMU,method,pl,LR,1146,299,214,359,274,,0.5828,0.5218,0.5506,0.6097
RMU,method,mb,LR,1146,301,236,337,272,,0.5605,0.5253,0.5423,0.579
RMU,method,vote,LR,1146,327,261,312,246,,0.5561,0.5707,0.5633,
RMU,method,avg,LR,1146,330,252,321,243,,0.567,0.5759,0.5714,0.6009
RMU,method,fl,LR,1146,328,235,338,245,,0.5826,0.5724,0.5775,0.6116
RMU,method,ib,LR,1146,316,240,333,257,,0.5683,0.5515,0.5598,0.6074
RMU,method,ibe,LR,1146,316,240,333,257,,0.5683,0.5515,0.5598,0.6074
RMU,method,eb,LR,1146,287,251,322,286,,0.5335,0.5009,0.5167,0.5515
RMU,method,pl,RF,1146,279,202,371,294,,0.58,0.4869,0.5294,0.5884
RMU,method,mb,RF,1146,242,201,372,331,,0.5463,0.4223,0.4764,0.5459
RMU,method,vote,RF,1146,285,230,343,288,,0.5534,0.4974,0.5239,
RMU,method,avg,RF,1146,308,241,332,265,,0.561,0.5375,0.549,0.5626
RMU,method,fl,RF,1146,257,184,389,316,,0.5828,0.4485,0.5069,0.5762
RMU,method,ib,RF,1146,248,191,382,325,,0.5649,0.4328,0.4901,0.5818
RMU,method,ibe,RF,1146,253,182,391,320,,0.5816,0.4415,0.502,0.5842
RMU,method,eb,RF,1146,248,244,329,325,,0.5041,0.4328,0.4657,0.5142
RMU,method,pl,AdaBoost,1146,301,251,322,272,,0.5453,0.5253,0.5351,0.5656
RMU,method,mb,AdaBoost,1146,286,270,303,287,,0.5144,0.4991,0.5066,0.5135
RMU,method,vote,AdaBoost,1146,295,248,325,278,,0.5433,0.5148,0.5287,
RMU,method,avg,AdaBoost,1146,308,258,315,265,,0.5442,0.5375,0.5408,0.5627
RMU,method,fl,AdaBoost,1146,298,236,337,275,,0.5581,0.5201,0.5384,0.5462
RMU,method,ib,AdaBoost,1146,281,238,335,292,,0.5414,0.4904,0.5147,0.556
RMU,method,ibe,AdaBoost,1146,280,238,335,293,,0.5405,0.4887,0.5133,0.5471
RMU,method,eb,AdaBoost,1146,306,251,322,267,,0.5494,0.534,0.5416,0.5496
RMU,cross,pl,LR,1146,383,328,245,190,,0.5387,0.6684,0.5966,0.5813
RMU,cross,mb,LR,1146,569,564,9,4,,0.5022,0.993,0.6671,0.6435
RMU,cross,vote,LR,1146,257,156,417,316,,0.6223,0.4485,0.5213,
RMU,cross,avg,LR,1146,241,141,432,332,,0.6309,0.4206,0.5047,0.6267
RMU,cross,fl,LR,1146,478,384,189,95,,0.5545,0.8342,0.6662,0.6427
RMU,cross,ib,LR,1146,403,329,244,170,,0.5505,0.7033,0.6176,0.6105
RMU,cross,ibe,LR,1146,403,329,244,170,,0.5505,0.7033,0.6176,0.6105
