model,probe_type,clf,n_folds_complete,mean_n_test,mean_best_layer,std_best_layer,mean_accuracy,std_accuracy,mean_true_accuracy,std_true_accuracy,mean_false_accuracy,std_false_accuracy,mean_precision,std_precision,mean_recall,std_recall,mean_f1,std_f1,mean_auc,std_auc
RMU,per_layer,RF,5,508.0,3.6,2.416609194718914,0.5700787401574803,0.014657094857469488,0.5401574803149606,0.023543175413741832,0.6,0.023437600104153095,0.5746681501218186,0.01599425591879817,0.5401574803149606,0.023543175413741832,0.5566599793148415,0.017171070150603505,0.5984096968193937,0.01916070549011886
RMU,per_layer,AdaBoost,5,508.0,14.0,13.19090595827292,0.5362204724409448,0.025227589517481566,0.5393700787401574,0.02794998322724228,0.5330708661417323,0.025828692073790124,0.5359515799703157,0.024884430754248357,0.5393700787401574,0.02794998322724228,0.5376079697984941,0.025959907307890738,0.5435411370822741,0.031194821278917546
RMU,mid_band,LR,5,508.0,,,0.5677165354330709,0.013210993492568887,0.5645669291338582,0.022630091123149433,0.5708661417322834,0.006587874224677748,0.5679368088032849,0.012164618446209589,0.5645669291338582,0.022630091123149433,0.5661876485933458,0.01727269559345665,0.5939642879285759,0.010984575284602187
RMU,mid_band,RF,5,508.0,,,0.5456692913385827,0.008201837266141583,0.48346456692913387,0.02444751920670872,0.6078740157480315,0.020320453386714857,0.5521739943390358,0.008974322172143485,0.48346456692913387,0.02444751920670872,0.5152471208523719,0.015189081995673887,0.5542098084196168,0.014923131209082405
RMU,mid_band,AdaBoost,5,508.0,,,0.525984251968504,0.015115239228702755,0.5,0.035737970765071556,0.5519685039370079,0.050749237934872495,0.5284349342465356,0.018024878184151456,0.5,0.035737970765071556,0.5127967767644811,0.0182467866738488,0.5348316696633393,0.015195109428841844
RMU,full_layer,LR,5,508.0,,,0.5968503937007874,0.01253675852605566,0.6094488188976378,0.02843381115790202,0.5842519685039369,0.02396082528299675,0.5945525991131596,0.012250998006851702,0.6094488188976378,0.02843381115790202,0.6016045015700248,0.016706947803371335,0.6254665509331019,0.01097057812395754
RMU,full_layer,RF,5,508.0,,,0.5519685039370079,0.018658260804839028,0.5047244094488189,0.026748484647973282,0.5992125984251968,0.01935150508258979,0.5572372033099653,0.019902369135754234,0.5047244094488189,0.026748484647973282,0.5295542213008366,0.02278028670038872,0.5718317936635873,0.019692107457807445
RMU,full_layer,AdaBoost,5,508.0,,,0.5523622047244093,0.019069103997342258,0.5622047244094489,0.02754780422761558,0.54251968503937,0.036459328827685766,0.5518223726228457,0.020396216003971922,0.5622047244094489,0.02754780422761558,0.556576311130644,0.018803771801472,0.5643933287866576,0.015217686519179112
RMU,init_band,LR,5,508.0,,,0.5925196850393701,0.014730934593598213,0.5818897637795275,0.019190641900714876,0.6031496062992125,0.025073517052111274,0.5947903909441133,0.016421690019960487,0.5818897637795275,0.019190641900714876,0.5880933298692959,0.014508724947240198,0.6269731539463079,0.01238414802914903
RMU,init_band,RF,5,508.0,,,0.5468503937007874,0.019700781107396557,0.4866141732283465,0.02630439856455128,0.6070866141732284,0.02810483196468466,0.5534482645439933,0.023096825491552026,0.4866141732283465,0.02630439856455128,0.5176420328919538,0.022488788158720727,0.5731942463884928,0.02672165811846625
RMU,init_band,AdaBoost,5,508.0,,,0.5338582677165353,0.02910191907492335,0.5078740157480315,0.04631635014126847,0.5598425196850394,0.015429856647453062,0.5347270347059461,0.028895295114729377,0.5078740157480315,0.04631635014126847,0.5207521278325896,0.03780443125019943,0.5528349556699114,0.024298259922459056
RMU,init_band_emb,LR,5,508.0,,,0.5925196850393701,0.014730934593598213,0.5818897637795275,0.019190641900714876,0.6031496062992125,0.025073517052111274,0.5947903909441133,0.016421690019960487,0.5818897637795275,0.019190641900714876,0.5880933298692959,0.014508724947240198,0.6269855539711079,0.012380590356499837
RMU,init_band_emb,RF,5,508.0,,,0.5535433070866141,0.0235694953497571,0.49921259842519683,0.02981747437600235,0.6078740157480315,0.025587522534286485,0.5600022898933803,0.025773549432518257,0.49921259842519683,0.02981747437600235,0.5277165861286953,0.02684735151655888,0.5738467976935954,0.02630939237418342
