model,clf,layer,mean_accuracy,std_accuracy,mean_true_accuracy,std_true_accuracy,mean_false_accuracy,std_false_accuracy,mean_precision,std_precision,mean_recall,std_recall,mean_f1,std_f1,mean_auc,std_auc
ELM,AdaBoost,27,0.5326771653543306,0.017097677756384634,0.5236220472440944,0.0278388496530137,0.5417322834645669,0.03482416438975745,0.5335523279111591,0.017269512020974636,0.5236220472440944,0.0278388496530137,0.5281747002516118,0.0189794495123768,0.5550902101804203,0.02489260225004829
ELM,AdaBoost,28,0.5385826771653544,0.015176641942831807,0.5385826771653542,0.03288285514617496,0.5385826771653542,0.018699751318169956,0.5382891202022242,0.014185857003170169,0.5385826771653542,0.03288285514617496,0.5381789830749016,0.022312608456760558,0.5455158410316822,0.015583914934401063
ELM,AdaBoost,29,0.537007874015748,0.01203205259050091,0.5141732283464566,0.029629744444451628,0.5598425196850394,0.03542432087937635,0.5391733922987649,0.01357543398114606,0.5141732283464566,0.029629744444451628,0.5258203310868088,0.01671820870273565,0.5516817533635068,0.012275297085857926
ELM,AdaBoost,30,0.5255905511811023,0.026614872096307977,0.5125984251968504,0.05062692096276695,0.5385826771653544,0.03362859291978365,0.5255999881195368,0.026382567405462236,0.5125984251968504,0.05062692096276695,0.5183967767426443,0.0370839551372828,0.53000496000992,0.020020632066476605
ELM,AdaBoost,31,0.5362204724409448,0.017278037998024975,0.5401574803149606,0.03063791568243105,0.5322834645669291,0.038846917743445696,0.5362901316452279,0.01769911103865703,0.5401574803149606,0.03063791568243105,0.5377586956341647,0.019288002143408263,0.5479477958955917,0.026124681920136256
ELM,AdaBoost,32,0.5283464566929134,0.011718800052076572,0.5275590551181102,0.026933277758247366,0.5291338582677165,0.03184842270260895,0.5286007945218294,0.012501536275928997,0.5275590551181102,0.026933277758247366,0.5277033865554942,0.015451784451012578,0.5406488312976626,0.01448541297246705
ELM,LR,1,0.5515748031496063,0.02235444026232817,0.547244094488189,0.04724409448818899,0.5559055118110237,0.007634141507742237,0.5510588186731098,0.020278118929394483,0.547244094488189,0.04724409448818899,0.5487882266957047,0.03357187980227509,0.5663711327422655,0.014758748279638472
ELM,LR,2,0.5578740157480315,0.015278431426718284,0.5464566929133858,0.013033815241926662,0.5692913385826771,0.022075347667521544,0.5594136358961663,0.01617255738758931,0.5464566929133858,0.013033815241926662,0.5528047819397168,0.01360804897885203,0.5747101494202989,0.014222519657903504
ELM,LR,3,0.5515748031496063,0.012349911134927633,0.5377952755905512,0.014856663200089154,0.5653543307086615,0.023437600104153123,0.5532618039273322,0.013315274534936139,0.5377952755905512,0.014856663200089154,0.5452841191348762,0.011320761850846784,0.5751286502573005,0.012895925190496472
ELM,LR,4,0.5618110236220473,0.013785150708670525,0.5866141732283464,0.023883072264729285,0.537007874015748,0.03570325684647129,0.5593541886849966,0.01445449928994897,0.5866141732283464,0.023883072264729285,0.5722830882863262,0.012881726332433851,0.5776737553475108,0.012159801091401901
