method,subset,eval_type,clf,n_total,tp,fp,tn,fn,gibberish,precision,recall,f1,auc
Llama3-8B,pattern,probe_vote,LR,1682,319,231,610,522,,0.58,0.3793,0.4587,
Llama3-8B,pattern,probe_avg,LR,1682,324,226,615,517,,0.5891,0.3853,0.4659,0.6012
Llama3-8B,pattern,probe_pl,RF,1682,302,251,590,539,,0.5461,0.3591,0.4333,0.5415
Llama3-8B,pattern,probe_ml,RF,1682,182,188,653,659,,0.4919,0.2164,0.3006,0.5029
Llama3-8B,pattern,probe_vote,RF,1682,158,150,691,683,,0.513,0.1879,0.275,
Llama3-8B,pattern,probe_avg,RF,1682,75,83,758,766,,0.4747,0.0892,0.1502,0.4834
Llama3-8B,pattern,probe_pl,AdaBoost,1682,74,74,767,767,,0.5,0.088,0.1496,0.5211
Llama3-8B,pattern,probe_ml,AdaBoost,1682,632,521,320,209,,0.5481,0.7515,0.6339,0.5833
Llama3-8B,pattern,probe_vote,AdaBoost,1682,72,78,763,769,,0.48,0.0856,0.1453,
Llama3-8B,pattern,probe_avg,AdaBoost,1682,56,58,783,785,,0.4912,0.0666,0.1173,0.5403
Llama3-8B,gibberish,gen,-,1922,930,889,65,24,14,0.5113,0.9677,0.6691,
Llama3-8B,gibberish,logit,-,1922,922,846,115,39,,0.5215,0.9594,0.6757,0.6354
Llama3-8B,gibberish,probe_pl,LR,1922,949,941,20,12,,0.5021,0.9875,0.6657,0.598
Llama3-8B,gibberish,probe_ml,LR,1922,44,10,951,917,,0.8148,0.0458,0.0867,0.6392
Llama3-8B,gibberish,probe_vote,LR,1922,341,249,712,620,,0.578,0.3548,0.4397,
Llama3-8B,gibberish,probe_avg,LR,1922,350,242,719,611,,0.5912,0.3642,0.4507,0.5955
Llama3-8B,gibberish,probe_pl,RF,1922,372,320,641,589,,0.5376,0.3871,0.4501,0.5406
Llama3-8B,gibberish,probe_ml,RF,1922,147,158,803,814,,0.482,0.153,0.2322,0.4948
Llama3-8B,gibberish,probe_vote,RF,1922,125,123,838,836,,0.504,0.1301,0.2068,
Llama3-8B,gibberish,probe_avg,RF,1922,34,47,914,927,,0.4198,0.0354,0.0653,0.487
Llama3-8B,gibberish,probe_pl,AdaBoost,1922,45,44,917,916,,0.5056,0.0468,0.0857,0.518
Llama3-8B,gibberish,probe_ml,AdaBoost,1922,787,675,286,174,,0.5383,0.8189,0.6496,0.5625
Llama3-8B,gibberish,probe_vote,AdaBoost,1922,50,60,901,911,,0.4545,0.052,0.0934,
Llama3-8B,gibberish,probe_avg,AdaBoost,1922,36,39,922,925,,0.48,0.0375,0.0695,0.5266
Llama3-8B,both,gen,-,1512,729,688,64,23,8,0.5145,0.9643,0.671,
Llama3-8B,both,logit,-,1512,720,648,108,36,,0.5263,0.9524,0.678,0.6699
Llama3-8B,both,probe_pl,LR,1512,750,741,15,6,,0.503,0.9921,0.6676,0.6238
Llama3-8B,both,probe_ml,LR,1512,42,8,748,714,,0.84,0.0556,0.1042,0.6713
Llama3-8B,both,probe_vote,LR,1512,288,202,554,468,,0.5878,0.381,0.4623,
