method,feature_variant,direction,selected_distractor_rule,n_suppressed,n_forgotten,auc_mean,auc_ci95_low,auc_ci95_high,balanced_accuracy_mean,balanced_accuracy_ci95_low,balanced_accuracy_ci95_high,average_precision_mean,average_precision_ci95_low,average_precision_ci95_high
RMU,correct_minus_closest_wrong,logistic_regression,min_hidden_dist,173,44,0.6335490015764582,0.6099382553862321,0.6621223068838675,0.5822057277982134,0.5412473725696269,0.6440915659485023,0.8599505566156221,0.8440245025835166,0.8769362793382762
RMU,correct_minus_farthest_wrong,mean_difference,max_hidden_dist,173,44,0.6575702837624803,0.5833355228586442,0.716257225433526,0.5313780872306884,0.4994515239096164,0.5652801497635312,0.8624265173648723,0.8258749625361061,0.8862159685970321
RMU,correct_minus_farthest_wrong,logistic_regression,max_hidden_dist,173,44,0.6264680767209669,0.5730458486600104,0.6785141881240146,0.558555570152391,0.5153737519705728,0.6002873751970572,0.8608469205895874,0.8340724586011895,0.8853037953734839
RMU,concat_all_wrong_ordered,mean_difference,all_ordered_by_ext,173,44,0.6920651602732527,0.6485976090383604,0.7384885706778771,0.5463018917498685,0.5191638202837625,0.5863455727798214,0.8829161556851368,0.8626942781810132,0.9029133347979954
RMU,concat_all_wrong_ordered,logistic_regression,all_ordered_by_ext,173,44,0.7152062532842879,0.6650223331581712,0.7675578034682081,0.5953330267997897,0.5526241460851288,0.623139450867052,0.8997795247410025,0.8665718507206377,0.9239555381637604
RMU,mean_plus_spread,mean_difference,mean_plus_spread,173,44,0.6860089332632685,0.6329151339989489,0.731962690488702,0.5303960851287439,0.5040659485023647,0.5657038229111928,0.8803799714980773,0.8524328093563553,0.904533464868978
RMU,mean_plus_spread,logistic_regression,mean_plus_spread,173,44,0.72044140830268,0.6696531791907515,0.7670290331056228,0.6100926169206518,0.5564930373095113,0.6527193904361535,0.9017410276204468,0.8742214570928214,0.9252422949952483
RR,correct_only,mean_difference,none,176,26,0.6758631993006994,0.6301081730769231,0.727420236013986,0.5197989510489511,0.4965635926573426,0.5576322115384615,0.9127231741403448,0.8922569930782464,0.9310259645280532
RR,correct_only,logistic_regression,none,176,26,0.6458260489510489,0.5843640734265735,0.7301518793706293,0.5393138111888113,0.5009943181818182,0.5815777972027972,0.918578531928377,0.8946810843118497,0.946393583654448
RR,correct_minus_mean_wrong,mean_difference,mean_all_wrong,176,26,0.6882648601398602,0.6103747814685315,0.7458970716783218,0.5372377622377622,0.4941761363636363,0.5740220716783216,0.9236156848530817,0.9004356560058183,0.9450491339741032
RR,correct_minus_mean_wrong,logistic_regression,mean_all_wrong,176,26,0.6993662587412588,0.6414117132867133,0.7703562062937063,0.5757539335664336,0.5157342657342657,0.6448098776223776,0.9358877182415636,0.9209803996552464,0.9490907722551276
RR,correct_minus_strongest_wrong,mean_difference,max_base_ext,176,26,0.6761472902097903,0.6110959353146853,0.7169416520979021,0.5328343531468531,0.4949300699300699,0.5820913461538462,0.9247966028171768,0.9019164154334453,0.9424387958489632
RR,correct_minus_strongest_wrong,logistic_regression,max_base_ext,176,26,0.6430944055944057,0.5788953234265733,0.7034637237762238,0.5611888111888111,0.5175535402097902,0.6112161276223775,0.9175310520438076,0.899309627755767,0.9315494455950176
RR,correct_minus_closest_wrong,mean_difference,min_hidden_dist,176,26,0.646514423076923,0.604611013986014,0.6958533653846153,0.5116805069930069,0.4856534090909091,0.5604731206293706,0.9182142814159648,0.9010252432615596,0.9329040129332656
RR,correct_minus_closest_wrong,logistic_regression,min_hidden_dist,176,26,0.6162041083916084,0.5291684877622378,0.6838068181818181,0.5354785839160838,0.4916848776223776,0.5749180506993007,0.9066343121152404,0.8788180114136797,0.9270615206300354
RR,correct_minus_farthest_wrong,mean_difference,max_hidden_dist,176,26,0.6416357080419581,0.5706676136363636,0.7082003933566433,0.5098557692307694,0.4871448863636363,0.5427338286713287,0.91402103854522,0.8899444595863188,0.93730286960942
RR,correct_minus_farthest_wrong,logistic_regression,max_hidden_dist,176,26,0.6426955856643357,0.5639914772727272,0.7157069493006993,0.5383194930069929,0.4842602709790209,0.5898983828671328,0.9204634319127104,0.8975651316008514,0.9431153733919224
RR,concat_all_wrong_ordered,mean_difference,all_ordered_by_ext,176,26,0.6888221153846155,0.6024694055944056,0.7408927010489511,0.5403409090909091,0.5022454108391609,0.583440777972028,0.9237276724255392,0.899822558428778,0.9382093355371208
RR,concat_all_wrong_ordered,logistic_regression,all_ordered_by_ext,176,26,0.6868553321678321,0.6374344405594405,0.7188756555944056,0.5453889860139859,0.5071295891608392,0.5906960227272727,0.9280311413830884,0.909744935159677,0.9396966433014357
RR,mean_plus_spread,mean_difference,mean_plus_spread,176,26,0.6888876748251749,0.6103857080419581,0.7468203671328671,0.5365603146853146,0.4941761363636363,0.5770050262237761,0.9238946746072532,0.9005223649494616,0.9448974583940636
RR,mean_plus_spread,logistic_regression,mean_plus_spread,176,26,0.7008850524475524,0.640280812937063,0.7861778846153846,0.5717657342657343,0.5142427884615385,0.6436024912587412,0.936339804900506,0.9206773694852796,0.9510963583021916
RepNoise,correct_only,mean_difference,none,245,68,0.6926290516206483,0.6634033613445379,0.71687575030012,0.559188175270108,0.5319297719087636,0.5841889255702281,0.8716277644390928,0.8527483299786083,0.8855147521970214
RepNoise,correct_only,logistic_regression,none,245,68,0.6760414165666265,0.6337560024009604,0.7159183673469387,0.6117166866746698,0.5510654261704682,0.6461944777911164,0.8602786140224419,0.8339888608882214,0.8847937587503073
RepNoise,correct_minus_mean_wrong,mean_difference,mean_all_wrong,245,68,0.7410144057623049,0.7018367346938775,0.7826830732292918,0.5586224489795919,0.5177063325330132,0.5876237995198079,0.915684500124806,0.8943834440871631,0.9332393110782716
RepNoise,correct_minus_mean_wrong,logistic_regression,mean_all_wrong,245,68,0.7709033613445377,0.7337875150060025,0.7989360744297719,0.6631857743097238,0.6230814825930372,0.69796968787515,0.91261814299411,0.8979600718220246,0.9290613295708056
RepNoise,correct_minus_strongest_wrong,mean_difference,max_base_ext,245,68,0.7343577430972389,0.7001830732292917,0.7680747298919568,0.537156362545018,0.5055019507803121,0.5692617046818728,0.9088606272469196,0.8887416212794618,0.9253699662773208
RepNoise,correct_minus_strongest_wrong,logistic_regression,max_base_ext,245,68,0.7387515006002401,0.7077220888355342,0.7792481992797119,0.6411494597839136,0.6072366446578632,0.6722486494597839,0.9088586769535342,0.8924868306811923,0.9246355493034456
RepNoise,correct_minus_closest_wrong,mean_difference,min_hidden_dist,245,68,0.726938775510204,0.6832097839135653,0.7711329531812725,0.5270468187274909,0.5063115246098439,0.5523724489795918,0.9056762898869032,0.8799545115640837,0.921523917779168
RepNoise,correct_minus_closest_wrong,logistic_regression,min_hidden_dist,245,68,0.7280132052821128,0.7003991596638657,0.7717722088835534,0.6261134453781513,0.5837792617046819,0.6706122448979591,0.9042553856625364,0.8903805348464551,0.9222954959942536
RepNoise,correct_minus_farthest_wrong,mean_difference,max_hidden_dist,245,68,0.7080342136854743,0.6576560624249699,0.7380987394957983,0.5516746698679472,0.5095265606242497,0.5935819327731092,0.8950958395766291,0.8772081795853909,0.9072710434888096
RepNoise,correct_minus_farthest_wrong,logistic_regression,max_hidden_dist,245,68,0.6998019207683074,0.6561914765906363,0.7407457983193277,0.620108043217287,0.5825577731092437,0.6552250900360144,0.8791274812590256,0.8556438029675077,0.8985432563681786
RepNoise,concat_all_wrong_ordered,mean_difference,all_ordered_by_ext,245,68,0.7404201680672269,0.7108988595438175,0.7841536614645859,0.5680627250900361,0.5304111644657863,0.599093637454982,0.9148854206258402,0.9021465153589686,0.9326026530609336
RepNoise,concat_all_wrong_ordered,logistic_regression,all_ordered_by_ext,245,68,0.7510924369747899,0.7328301320528211,0.7818622448979592,0.6302641056422569,0.5990388655462185,0.6642909663865546,0.9114874672467096,0.9006417993397007,0.9226098823446894
RepNoise,mean_plus_spread,mean_difference,mean_plus_spread,245,68,0.741890756302521,0.7015246098439375,0.7800750300120047,0.559827430972389,0.5166349039615846,0.5876237995198079,0.9158252842922888,0.8941433641790104,0.9318598547580912
RepNoise,mean_plus_spread,logistic_regression,mean_plus_spread,245,68,0.7690036014405762,0.7345288115246098,0.7998064225690275,0.6662274909963986,0.6262912665066026,0.6998867046818728,0.9115650465439448,0.8972271935827949,0.9283599114932556
TAR,correct_only,mean_difference,none,190,54,0.5361062378167641,0.4614717348927875,0.5907407407407407,0.5098440545808967,0.4868884015594542,0.5388304093567251,0.8009260072391784,0.7685445635160589,0.8406813017130885
TAR,correct_only,logistic_regression,none,190,54,0.563625730994152,0.5026754385964912,0.6246978557504873,0.5430068226120859,0.4802461013645224,0.5970735867446394,0.812102664609931,0.7861727912592515,0.8361446551207149
