method,contrast,feature_mode,direction,question_set,quintile,n_questions,positive_rate,suppressed_rate,forgotten_rate,retained_rate,mean_projection_score,projection_score_min,projection_score_max
PB&J,suppressed_vs_rest,correct_only,mean_difference,Qstar,5,140,0.4285714285714285,0.4285714285714285,0.05,0.4571428571428571,1.0034772209580836,0.6525317694897359,2.9345538153151463
PB&J,forgotten_vs_retained,correct_only,mean_difference,Qstar,1,85,0.0823529411764705,0.0,0.0823529411764705,0.9176470588235294,-1.0083618331132498,-1.8343710482260551,-0.6403034209592868
PB&J,forgotten_vs_retained,correct_only,mean_difference,Qstar,2,84,0.1666666666666666,0.0,0.1666666666666666,0.8333333333333334,-0.4315383130495566,-0.6284498918297996,-0.2168116396593688
PB&J,forgotten_vs_retained,correct_only,mean_difference,Qstar,3,84,0.0833333333333333,0.0,0.0833333333333333,0.9166666666666666,0.0162526622470684,-0.2166125438434625,0.2573804902506342
PB&J,forgotten_vs_retained,correct_only,mean_difference,Qstar,4,84,0.1785714285714285,0.0,0.1785714285714285,0.8214285714285714,0.4573438015390195,0.2595654510425694,0.6312576642847068
PB&J,forgotten_vs_retained,correct_only,mean_difference,Qstar,5,84,0.2023809523809523,0.0,0.2023809523809523,0.7976190476190477,0.978307989913781,0.6456655657143504,1.686499012787502
RMU-LAT,suppressed_vs_forgotten,correct_only,mean_difference,Qstar,1,41,0.7073170731707317,0.7073170731707317,0.2926829268292683,0.0,-1.0597819208748298,-1.6150288837293836,-0.7373614375240006
RMU-LAT,suppressed_vs_forgotten,correct_only,mean_difference,Qstar,2,40,0.8,0.8,0.2,0.0,-0.4888969495829404,-0.7364107433712099,-0.2455194637430485
RMU-LAT,suppressed_vs_forgotten,correct_only,mean_difference,Qstar,3,40,0.875,0.875,0.125,0.0,-0.01029650497462,-0.2233092861964882,0.1567366018739938
RMU-LAT,suppressed_vs_forgotten,correct_only,mean_difference,Qstar,4,40,0.875,0.875,0.125,0.0,0.3995168502014046,0.1728690864786641,0.7402557308968617
RMU-LAT,suppressed_vs_forgotten,correct_only,mean_difference,Qstar,5,40,0.85,0.85,0.15,0.0,1.1859530732528565,0.7740048084124052,2.3766863719275118
RMU-LAT,suppressed_vs_retained,correct_only,mean_difference,Qstar,1,115,0.2608695652173913,0.2608695652173913,0.0,0.7391304347826086,-0.8203787508447238,-1.764667358739572,-0.5375055482492648
RMU-LAT,suppressed_vs_retained,correct_only,mean_difference,Qstar,2,114,0.2719298245614035,0.2719298245614035,0.0,0.7280701754385965,-0.3775806909067498,-0.528145445504697,-0.2342585895338071
RMU-LAT,suppressed_vs_retained,correct_only,mean_difference,Qstar,3,115,0.2695652173913043,0.2695652173913043,0.0,0.7304347826086957,-0.0814557945622612,-0.2309529881772497,0.0770834280861341
