method,metric,n_suppressed,n_forgotten,mean_suppressed,mean_forgotten,diff_supp_minus_forg,cohen_d,p_value_mwu_2sided
RMU-LAT,late_delta_ck8_minus_base,38,31,-0.2344298215877069,-0.3002688125977592,0.06583899101005233,0.2774704267441035,0.3405689277128835
RMU-LAT,mid_slope_per_ckpt,38,31,-0.020136738558164283,-0.02246995524872634,0.002333216690562058,0.11910133901902446,0.40180338768194535
RMU-LAT,late_slope_per_ckpt,38,31,-0.02930372769846332,-0.037533601574719876,0.008229873876256556,0.27747042674410405,0.3405689277128835
RMU-LAT,mid_min_checkpoint_value,38,31,0.5165118751511116,0.5329538350313393,-0.016441959880227675,-0.09452418455782144,0.7309919696200669
RMU-LAT,late_min_checkpoint_value,38,31,0.3611842180553235,0.3368279646721579,0.024356253383165605,0.11976536503388212,0.5955383572536079
RR,HKGap,46,18,0.6739130454218906,-0.055555557211240135,0.7294686026331307,2.978120452328923,2.4817361097114682e-09
RR,K_internal_ck8,46,18,0.8695652251658232,0.14814815256330702,0.7214170726025162,4.342397204152654,5.734172598400578e-11
RR,K_external_ck8,46,18,0.19565217974393265,0.20370370977454716,-0.008051530030614512,-0.04841871066077633,0.8675775193899677
RR,external_drop,46,18,0.8043478202560673,0.7962962902254529,0.008051530030614429,0.048418710660775834,0.8675775193899677
RR,mid_delta_ck8_minus_base,46,18,-0.16496163335297723,-0.2854030463430617,0.12044141299008446,0.6242551839286695,0.040057667529738314
RR,late_delta_ck8_minus_base,46,18,-0.2574275317237429,-0.40879629304011655,0.15136876131637367,0.4608706073173792,0.176583831020119
RR,mid_slope_per_ckpt,46,18,-0.020620204169122126,-0.03567538079288266,0.015055176623760536,0.6242551839286691,0.040057667529738314
RR,late_slope_per_ckpt,46,18,-0.03217844146546783,-0.05109953663001455,0.018921095164546715,0.4608706073173798,0.176583831020119
RR,mid_min_checkpoint_value,46,18,0.5328218329821706,0.512200442833059,0.020621390149111574,0.13270085612662225,0.6649830488352138
RR,late_min_checkpoint_value,46,18,0.37119566067729304,0.3291666735791498,0.04202898709814323,0.21412134278544176,0.6541555647393644
RepNoise,HKGap,53,29,0.7672956012329966,0.03448275964835595,0.7328128415846407,3.114537613032929,2.36105631437377e-13
RepNoise,K_internal_ck8,53,29,0.8805031517766556,0.195402304674017,0.6851008471026386,4.192840593656092,4.780242016003801e-15
RepNoise,K_external_ck8,53,29,0.11320755054365914,0.16091954502566108,-0.047711994482001946,-0.2927231536440466,0.2088014061987763
RepNoise,external_drop,53,29,0.8867924494563408,0.8390804549743389,0.04771199448200192,0.29272315364404644,0.2088014061987763
RepNoise,mid_delta_ck8_minus_base,53,29,-0.14739178305990028,-0.23123731659101907,0.08384553353111879,0.4555543354585627,0.020449578528029238
RepNoise,late_delta_ck8_minus_base,53,29,-0.19968552946482065,-0.34597700497713585,0.1462914755123152,0.6102012459947392,0.008101515218499758
RepNoise,mid_slope_per_ckpt,53,29,-0.018423972882487514,-0.02890466457387734,0.010480691691389828,0.4555543354585622,0.020449578528029238
RepNoise,late_slope_per_ckpt,53,29,-0.024960691183102547,-0.04324712562214193,0.018286434439039385,0.610201245994739,0.008101515218499758
RepNoise,mid_min_checkpoint_value,53,29,0.6013318628039662,0.5791751287892672,0.022156734014698976,0.18588021415304437,0.3272978171956824
RepNoise,late_min_checkpoint_value,53,29,0.5380503247228433,0.4623563308397244,0.07569399388311893,0.4446351273293375,0.032469659072454526
TAR,HKGap,32,17,0.65625,-0.05882353116484249,0.7150735311648425,4.011732269879737,6.372257872831543e-09
TAR,K_internal_ck8,32,17,0.8854166734963655,0.13725490605129914,0.7481617674450665,4.570126087705962,1.8022873295489282e-09
TAR,K_external_ck8,32,17,0.22916667349636555,0.19607843721614165,0.03308823628022389,0.20525448089626508,0.4996818716424577
TAR,external_drop,32,17,0.7708333265036345,0.8039215627838584,-0.03308823628022395,-0.20525448089626544,0.4996818716424577
TAR,mid_delta_ck8_minus_base,32,17,-0.22708332778557255,-0.2579008042812347,0.030817476495662133,0.1678973935524602,0.9080305064029259
TAR,late_delta_ck8_minus_base,32,17,-0.21718749483115968,-0.3666666632627739,0.14947916843161424,0.6955099410376726,0.05202961762222522
TAR,mid_slope_per_ckpt,32,17,-0.028385415973196534,-0.03223760053515431,0.0038521845619577735,0.1678973935524606,0.9080305064029259
TAR,late_slope_per_ckpt,32,17,-0.027148436853894925,-0.04583333290784669,0.018684896053951766,0.6955099410376722,0.05202961762222522
TAR,mid_min_checkpoint_value,32,17,0.48075981279287267,0.4814302267912762,-0.0006704139984035073,-0.006054928397845143,0.8583022785871254
TAR,late_min_checkpoint_value,32,17,0.5369791745441035,0.3357843200511792,0.2011948544929243,0.8882513864990736,0.006520475033387235
