model,checkpoint,fold,probe_type,classifier,probe_variant,remains,unlearned,emerged,never_known,total
RMU-LAT,ck8,single,init_band_emb,LR,method_probe,610,65,45,426,1146
RMU-LAT,ck8,single,init_band_emb,RF,frozen_base,390,240,200,316,1146
RMU-LAT,ck8,single,init_band_emb,RF,method_probe,395,235,223,293,1146
RMU-LAT,ck8,single,init_band_emb,AdaBoost,frozen_base,445,192,178,331,1146
RMU-LAT,ck8,single,init_band_emb,AdaBoost,method_probe,414,223,215,294,1146
RMU-LAT,ck8,single,end_band,LR,frozen_base,394,372,178,202,1146
RMU-LAT,ck8,single,end_band,LR,method_probe,464,302,163,217,1146
RMU-LAT,ck8,single,end_band,RF,frozen_base,354,346,221,225,1146
RMU-LAT,ck8,single,end_band,RF,method_probe,407,293,224,222,1146
RMU-LAT,ck8,single,end_band,AdaBoost,frozen_base,362,360,228,196,1146
RMU-LAT,ck8,single,end_band,AdaBoost,method_probe,408,314,210,214,1146
RMU-LAT,ck8,single,ib_no_pca,LR,frozen_base,615,14,19,498,1146
RMU-LAT,ck8,single,ib_no_pca,LR,method_probe,624,5,2,515,1146
RMU-LAT,ck8,single,ib_no_pca,RF,frozen_base,580,63,74,429,1146
RMU-LAT,ck8,single,ib_no_pca,RF,method_probe,518,125,134,369,1146
RMU-LAT,ck8,single,ib_no_pca,AdaBoost,frozen_base,562,58,65,461,1146
RMU-LAT,ck8,single,ib_no_pca,AdaBoost,method_probe,441,179,182,344,1146
RepNoise,ck8,single,per_layer,LR,frozen_base,374,364,225,183,1146
RepNoise,ck8,single,per_layer,LR,method_probe,453,285,209,199,1146
RepNoise,ck8,single,per_layer,RF,frozen_base,391,336,207,212,1146
RepNoise,ck8,single,per_layer,RF,method_probe,433,294,186,233,1146
RepNoise,ck8,single,per_layer,AdaBoost,frozen_base,362,364,207,213,1146
RepNoise,ck8,single,per_layer,AdaBoost,method_probe,399,327,207,213,1146
RepNoise,ck8,single,mid_band,LR,frozen_base,389,400,184,173,1146
RepNoise,ck8,single,mid_band,LR,method_probe,514,275,159,198,1146
RepNoise,ck8,single,mid_band,RF,frozen_base,349,370,218,209,1146
RepNoise,ck8,single,mid_band,RF,method_probe,414,305,211,216,1146
RepNoise,ck8,single,mid_band,AdaBoost,frozen_base,362,355,230,199,1146
RepNoise,ck8,single,mid_band,AdaBoost,method_probe,377,340,230,199,1146
RepNoise,ck8,single,full_layer,LR,frozen_base,382,375,191,198,1146
RepNoise,ck8,single,full_layer,LR,method_probe,529,228,156,233,1146
RepNoise,ck8,single,full_layer,RF,frozen_base,336,373,238,199,1146
RepNoise,ck8,single,full_layer,RF,method_probe,424,285,209,228,1146
RepNoise,ck8,single,full_layer,AdaBoost,frozen_base,357,354,198,237,1146
RepNoise,ck8,single,full_layer,AdaBoost,method_probe,421,290,225,210,1146
RepNoise,ck8,single,init_band,LR,frozen_base,423,252,186,285,1146
RepNoise,ck8,single,init_band,LR,method_probe,586,89,81,390,1146
RepNoise,ck8,single,init_band,RF,frozen_base,336,294,243,273,1146
RepNoise,ck8,single,init_band,RF,method_probe,405,225,227,289,1146
