subset,model,balanced_accuracy_mean,balanced_accuracy_standard_deviation,balanced_accuracy_ci95_low,balanced_accuracy_ci95_high,macro_f1_mean,macro_f1_standard_deviation,macro_f1_ci95_low,macro_f1_ci95_high,roc_auc_mean,roc_auc_standard_deviation,roc_auc_ci95_low,roc_auc_ci95_high,average_precision_mean,average_precision_standard_deviation,average_precision_ci95_low,average_precision_ci95_high,log_loss_mean,log_loss_standard_deviation,log_loss_ci95_low,log_loss_ci95_high,brier_score_mean,brier_score_standard_deviation,brier_score_ci95_low,brier_score_ci95_high,delta_balanced_accuracy_vs_A_mean,delta_balanced_accuracy_vs_A_standard_deviation,delta_balanced_accuracy_vs_A_ci95_low,delta_balanced_accuracy_vs_A_ci95_high,delta_macro_f1_vs_A_mean,delta_macro_f1_vs_A_standard_deviation,delta_macro_f1_vs_A_ci95_low,delta_macro_f1_vs_A_ci95_high,delta_roc_auc_vs_A_mean,delta_roc_auc_vs_A_standard_deviation,delta_roc_auc_vs_A_ci95_low,delta_roc_auc_vs_A_ci95_high,delta_log_loss_vs_A_mean,delta_log_loss_vs_A_standard_deviation,delta_log_loss_vs_A_ci95_low,delta_log_loss_vs_A_ci95_high,delta_brier_score_vs_A_mean,delta_brier_score_vs_A_standard_deviation,delta_brier_score_vs_A_ci95_low,delta_brier_score_vs_A_ci95_high
S2,Model C,0.5638725490196078,0.01220290563561184,0.5415371148459384,0.5847549019607843,0.5498040959012672,0.011371746532319526,0.5292442326408476,0.5681715671296231,0.5724388284725654,0.01109014110625623,0.5512915018948756,0.5852343878727961,0.7127110148835314,0.007468804339791733,0.6973059877802417,0.7231428585933425,0.6898068965306272,0.0051284437793139214,0.6840454211133223,0.700498035528295,0.24782991550911704,0.0023715870227611403,0.24512651414048364,0.25271263159594703,0.007499999999999974,0.013270435030786622,-0.016999299719887947,0.027447478991596594,-0.004554241320704311,0.014483748286403527,-0.029537731919696913,0.02079794789657609,0.009032171692206293,0.008746460903288459,-0.009151013346514946,0.021327030812324958,0.005117759610980927,0.003938255671100739,0.00030766877222501157,0.012729403519749695,0.002164148622052134,0.0018055438219226558,-0.00012106447659878463,0.005556199361991931
S2,Model D,0.5628151260504203,0.011288797087739486,0.5387079831932773,0.5782598039215686,0.5400459601562753,0.010213244716631256,0.5189900007118133,0.5551679138242753,0.5662055116164113,0.011764833829622044,0.5505576495304004,0.5857798854836053,0.7289526030476909,0.0070448510739348205,0.7172142220710307,0.7392384377593445,0.6996838459417699,0.006654098537799264,0.6877163648646658,0.7097463065612412,0.2522191462028604,0.0030624621338980217,0.24683447371289818,0.25672463869688306,0.006442577030812302,0.011878673359462105,-0.017538515406162462,0.02299019607843128,-0.014312377065696286,0.012247724682434824,-0.03692525997074092,0.006567444682518987,0.0027988548360520725,0.010650998294135346,-0.020625102982369397,0.018029535343549202,0.014994709022123475,0.005579970311760663,0.005130253620268399,0.02484417825714435,0.006553379315795488,0.0025341538019101164,0.002144118736358108,0.011079061286718041
S3,Model A,0.5496014109347442,0.010577359663598048,0.5300970017636685,0.5649867724867725,0.5479976646850455,0.011906008635033048,0.5258756542872024,0.5649896638764031,0.5222218694885361,0.009283532043425087,0.5055948853615521,0.5364091710758377,0.6983728310262836,0.008731781831446862,0.6816113202709407,0.7116128752630447,0.6909750682763071,0.0021681885283245223,0.688125790014773,0.6952580008276771,0.2487281693014451,0.0010533082587520066,0.24736215455123162,0.2508221966172829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S3,Model B,0.5324038800705468,0.010267578740481014,0.5106957671957673,0.5446543209876543,0.5210306773605402,0.01005073237342658,0.5003351369964256,0.5345874318967618,0.521321340388007,0.01547589241996705,0.49729365079365084,0.5407236331569665,0.6921702714166533,0.013287597906684705,0.6738488623160627,0.7138916542865796,0.7030372003030252,0.0077075419311578375,0.6914375362030514,0.7164149656694111,0.2542155614786506,0.003545526805639277,0.24869150073861696,0.26023291683968636,-0.017197530864197536,0.012737516629188294,-0.04288359788359789,0.0017663139329806067,-0.026966987324505465,0.013696848601114059,-0.05158127402811731,-0.005104399539500479,-0.0009005291005290989,0.013988697425918626,-0.02875467372134033,0.016544620811287502,0.012062132026717942,0.006951956673647362,0.0024339804499777795,0.025389333583328122,0.005487392177205492,0.0031830179363121257,0.0009368219878281119,0.011485687808672242
S3,Model C,0.5352980599647266,0.013002571917888155,0.5145978835978836,0.5591878306878307,0.5239979486732287,0.012006888169623111,0.5054421814323347,0.5483563038190562,0.5244179894179893,0.014577040831839146,0.5012587301587302,0.5460534391534392,0.693557518787655,0.011866639468786917,0.6776854844943158,0.7146240162592298,0.7007087635994242,0.006242201097973203,0.6910035355250141,0.7108330658036099,0.25313686257832946,0.0028943022903731314,0.24851845529624422,0.257682218995257,-0.014303350970017642,0.01380564964466252,-0.038900352733686146,0.005061728395061716,-0.02399971601181685,0.014110784796466441,-0.04836271348698314,-0.002077165782129737,0.002196119929453286,0.013523353498664617,-0.020683421516754775,0.01904497354497355,0.009733695323116931,0.005645975236549992,0.002079080211338577,0.019607870114245543,0.004408693276884347,0.002598591582431106,0.0007877040091214837,0.008751564792410156
S3,Model D,0.5298783068783068,0.013554284114585568,0.5043430335097002,0.5519947089947089,0.5108934402403695,0.01174830499424296,0.4920169293345934,0.5306932412120376,0.5284349206349207,0.01066518364674655,0.5138246913580248,0.5486559082892417,0.7257573018651113,0.01145034345260215,0.7023898094599332,0.742598184555341,0.710924236917313,0.007978567754371469,0.6979796494440512,0.7247039798834831,0.25752434273081215,0.0031470624614793985,0.25200015546815907,0.2627029129113513,-0.019723104056437395,0.016224527759018975,-0.0548800705467372,0.0046340388007054065,-0.03710422444467621,0.016797770357167268,-0.06958187961271875,-0.012175216209965787,0.0062130511463845016,0.01331139788595023,-0.011371604938271565,0.03009488536155202,0.01994916864100576,0.0080843318493442,0.006348295775592791,0.03426897627290767,0.008796173429367065,0.0032580383657161835,0.003194741031377026,0.014209319358429376
S4,Model A,0.5496014109347442,0.010577359663598048,0.5300970017636685,0.5649867724867725,0.5479976646850455,0.011906008635033048,0.5258756542872024,0.5649896638764031,0.5222218694885361,0.009283532043425087,0.5055948853615521,0.5364091710758377,0.6983728310262836,0.008731781831446862,0.6816113202709407,0.7116128752630447,0.6909750682763071,0.0021681885283245223,0.688125790014773,0.6952580008276771,0.2487281693014451,0.0010533082587520066,0.24736215455123162,0.2508221966172829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S4,Model B,0.5324038800705468,0.010267578740481014,0.5106957671957673,0.5446543209876543,0.5210306773605402,0.01005073237342658,0.5003351369964256,0.5345874318967618,0.521321340388007,0.01547589241996705,0.49729365079365084,0.5407236331569665,0.6921702714166533,0.013287597906684705,0.6738488623160627,0.7138916542865796,0.7030372003030252,0.0077075419311578375,0.6914375362030514,0.7164149656694111,0.2542155614786506,0.003545526805639277,0.24869150073861696,0.26023291683968636,-0.017197530864197536,0.012737516629188294,-0.04288359788359789,0.0017663139329806067,-0.026966987324505465,0.013696848601114059,-0.05158127402811731,-0.005104399539500479,-0.0009005291005290989,0.013988697425918626,-0.02875467372134033,0.016544620811287502,0.012062132026717942,0.006951956673647362,0.0024339804499777795,0.025389333583328122,0.005487392177205492,0.0031830179363121257,0.0009368219878281119,0.011485687808672242
S4,Model C,0.5352980599647266,0.013002571917888155,0.5145978835978836,0.5591878306878307,0.5239979486732287,0.012006888169623111,0.5054421814323347,0.5483563038190562,0.5244179894179893,0.014577040831839146,0.5012587301587302,0.5460534391534392,0.693557518787655,0.011866639468786917,0.6776854844943158,0.7146240162592298,0.7007087635994242,0.006242201097973203,0.6910035355250141,0.7108330658036099,0.25313686257832946,0.0028943022903731314,0.24851845529624422,0.257682218995257,-0.014303350970017642,0.01380564964466252,-0.038900352733686146,0.005061728395061716,-0.02399971601181685,0.014110784796466441,-0.04836271348698314,-0.002077165782129737,0.002196119929453286,0.013523353498664617,-0.020683421516754775,0.01904497354497355,0.009733695323116931,0.005645975236549992,0.002079080211338577,0.019607870114245543,0.004408693276884347,0.002598591582431106,0.0007877040091214837,0.008751564792410156
S4,Model D,0.5298783068783068,0.013554284114585568,0.5043430335097002,0.5519947089947089,0.5108934402403695,0.01174830499424296,0.4920169293345934,0.5306932412120376,0.5284349206349207,0.01066518364674655,0.5138246913580248,0.5486559082892417,0.7257573018651113,0.01145034345260215,0.7023898094599332,0.742598184555341,0.710924236917313,0.007978567754371469,0.6979796494440512,0.7247039798834831,0.25752434273081215,0.0031470624614793985,0.25200015546815907,0.2627029129113513,-0.019723104056437395,0.016224527759018975,-0.0548800705467372,0.0046340388007054065,-0.03710422444467621,0.016797770357167268,-0.06958187961271875,-0.012175216209965787,0.0062130511463845016,0.01331139788595023,-0.011371604938271565,0.03009488536155202,0.01994916864100576,0.0080843318493442,0.006348295775592791,0.03426897627290767,0.008796173429367065,0.0032580383657161835,0.003194741031377026,0.014209319358429376
